opp_id,opp_name,opp_site_name,opp_state,opp_city,opp_stage,opp_rt,st_name,st_site_name,st_monday_name,st_state,st_city,st_status,strategy,result
006WR00000wiNoSYAU,Haciendas de la Playa,Encinitas_MDU_Haciendas de la Playa,CA,Encinitas,PAL/ROE Complete,MDU,P-005191,Encinitas_MDU_Haciendas De La Playa,Haciendas De La Playa HOA,CA,Encinitas,In Service,ci_st_site_name,already_linked_elsewhere
006WR00000wjKFoYAM,Versante Apartment Homes,Avondale_MDU_Versante,AZ,Avondale,Prospects,MDU,P-001802,Avondale_MDU_Versante,Versante,AZ,Avondale,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wjnmKYAQ,University Apartments,Spokane Valley_MDU_University Apartments,WA,Spokane Valley,Prospects,MDU,P-005894,Spokane Valley_MDU_University Apartments,University Apartments,WA,Spokane Valley,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wk1EEYAY,Henderson Terrace Apartments,Bridgeport_MDU_Henderson Terrace,TX,Bridgeport,Marketing/Bulk Complete,MDU,P-003501,Bridgeport_MDU_Henderson Terrace,Henderson Terrace,TX,Bridgeport,In Service,exact_st_site_name,already_linked_elsewhere
006WR00000wk1EGYAY,Monaghan Apartments,Killeen_MDU_Monaghan Apartments,TX,Killeen,Marketing/Bulk Complete,MDU,P-005411,Killeen_MDU_Monaghan Apartments,Monaghan Apts,TX,Killeen,In Service,exact_st_site_name,already_linked_elsewhere
006WR00000wk1EMYAY,Hunters Pointe (Mesa),Mesa_MDU_Hunters Pointe,AZ,Mesa,Marketing/Bulk Complete,MDU,P-005538,Mesa_MDU_Hunters Pointe,Hunters Pointe HOA,AZ,Mesa,In Service,exact_st_site_name,already_linked_elsewhere
006WR00000wk1ENYAY,Valencia Apartments,Idaho Falls_MDU_Valencia Apartments,ID,Idaho Falls,Marketing/Bulk Complete,MDU,P-004886,Idaho Falls_MDU_Valencia Apartments,Valencia Apts,ID,Idaho Falls,In Service,exact_st_site_name,already_linked_elsewhere
006WR00000wk1EOYAY,Midwest Patio Home Apartments,Idaho Falls_MDU_Midwest Patio Home Apartments,ID,Idaho Falls,Marketing/Bulk Complete,MDU,P-004890,Idaho Falls_MDU_Midwest Patio Home Apartments,Midwest Patio Home Apts,ID,Idaho Falls,In Service,exact_st_site_name,already_linked_elsewhere
006WR00000wk1EPYAY,Big Sky Patio Home Apartments,Idaho Falls_MDU_Big Sky Patio Home Apartments,ID,Idaho Falls,Marketing/Bulk Complete,MDU,P-004889,Idaho Falls_MDU_Big Sky Patio Home Apartments,Big Sky Patio Home Apts,ID,Idaho Falls,In Service,exact_st_site_name,already_linked_elsewhere
006WR00000wk1EQYAY,Hitt Road Patio Home Apartments,Ammon_MDU_Hitt Road Patio Home Apartments,ID,Idaho Falls,Marketing/Bulk Complete,MDU,P-004888,Ammon_MDU_Hitt Road Patio Home Apartments,Hitt Road Patio Home Apts,ID,Idaho Falls,In Service,exact_st_site_name,already_linked_elsewhere
006WR00000wk1ETYAY,Centennial Patio Home Apartments,Rexburg_MDU_Centennial Patio Home Apartments,ID,Rexburg,Marketing/Bulk Complete,MDU,P-004887,Rexburg_MDU_Centennial Patio Home Apartments,Centennial Patio Home Apts,ID,Rexburg,In Service,exact_st_site_name,already_linked_elsewhere
006WR00000wk1EYYAY,Cielo Apartments,Panorama City_MDU_Cielo,CA,Los Angeles,Marketing/Bulk Complete,MDU,P-003943,Panorama City_MDU_Cielo,Cielo,CA,Panorama City,In Service,exact_st_site_name,already_linked_elsewhere
006WR00000wk1EaYAI,Southgate Apartments,Sandy_MDU_Southgate Apartments,UT,Sandy,Marketing/Bulk Complete,MDU,P-005581,Sandy_MDU_Southgate Apartments,Southgate Apts,UT,Sandy,In Service,exact_st_site_name,already_linked_elsewhere
006WR00000wk1EdYAI,Cougar Creek Apartments,Vancouver_MDU_Cougar Creek Apartments,WA,Vancouver,Marketing/Bulk Complete,MDU,P-005532,Vancouver_MDU_Cougar Creek Apartments,Cougar Creek Apts,WA,Vancouver,In Service,exact_st_site_name,already_linked_elsewhere
006WR00000wk1EgYAI,Sun Valley Ranch Apartments,Mesa_MDU_Sun Valley Ranch Apartments,AZ,Mesa,Marketing/Bulk Complete,MDU,P-005524,Mesa_MDU_Sun Valley Ranch Apartments,Sun Valley Ranch Apts,AZ,Mesa,In Service,exact_st_site_name,already_linked_elsewhere
006WR00000wk1EkYAI,Cielo on 5th (f/k/a Equinox on 5th),Tucson_MDU_Equinox on 5th,AZ,Tucson,Marketing/Bulk Complete,MDU,P-006003,Tucson_MDU_Equinox on 5th,Equinox on  5th,AZ,Tucson,In Service,exact_st_site_name,already_linked_elsewhere
006WR00000wk1EpYAI,Linea Stillwater,Georgetown_MDU_Linea Stillwater,TX,Georgetown,Marketing/Bulk Complete,MDU,P-006877,Georgetown_MDU_Linea Stillwater,Linea Stillwater,TX,Georgetown,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wk9RuYAI,Town East,Killeen_MDU_Town East Apartments,TX,Killeen,Marketing/Bulk Complete,MDU,P-006861,Killeen_MDU_Town East Apartments,Town East,TX,KILLEEN,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wk9TBYAY,San Clemente,Gilbert_MDU_San Clemente,AZ,Gilbert,On Hold,MDU,P-001019,Gilbert_MDU_San Clemente,San Clemente,AZ,Gilbert,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wk9TCYAY,San Angelin,Mesa_MDU_San Angelin,AZ,Mesa,On Hold,MDU,P-001020,Mesa_MDU_San Angelin,San Angelin,AZ,Mesa,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wk9TGYAY,San Miguel Apartments,Mesa_MDU_San Miguel Apartments,AZ,Mesa,On Hold,MDU,P-001608,Mesa_MDU_San Miguel Apartments,San Miguel Apartments,AZ,Mesa,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wk9ULYAY,Cottages of Edina,Hornig_MDU_Cottages of Edina,MN,Edina,Prospects,MDU,P-006318,Hornig_MDU_Cottages of Edina,Cottage of Edina,MN,Edina,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wk9YTYAY,Solana Beach and Tennis Club,Solana Beach_MDU_Solana Beach & Tennis Club,CA,Solana Beach,PAL/ROE Complete,MDU,P-006846,Solana Beach_MDU_Solana Beach & Tennis Club,Solana Beach & Tennis Club,CA,Solana Beach,In Service,exact_st_site_name,already_linked_elsewhere
006WR00000wkA8yYAE,78th Place Apartments,Omaha_MDU_78th Street Apartments,NE,Omaha,PAL/ROE Complete,MDU,P-006773,Omaha_MDU_78th Street Apartments,78th Street Apartments,NE,Omaha,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wkA9KYAU,River Oaks Apartments,Killeen_MDU_River Oaks Apartments,TX,Killeen,Prospects,MDU,P-005430,Tucson_MDU_River Oaks Apartments,River Oaks Apartments,AZ,Tucson,Cancelled,stripped_prefix_to_monday,already_linked_elsewhere
006WR00000wkACGYA2,Bella Vita,Scottsdale_MDU_Bella Vita,AZ,Glendale,On Hold,MDU,P-000967,Scottsdale_MDU_Bella Vita,Bella Vita,AZ,Scottsdale,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wkAVPYA2,Benedict Park Place,Denver_MDU_Benedict Park Place,CO,Denver,Prospects,MDU,P-001607,Denver_MDU_Benedict Park Place,Benedict Park Place,CO,Denver,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wkAjtYAE,Camino Colony,Oceanside_MDU_Camino Colony,CA,Oceanside,Closed Lost,MDU,P-001089,Oceanside_MDU_Camino Colony,Camino Colony,CA,Oceanside,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wkAk9YAE,Four Seasons Condominiums of Winter Park,Winter Park_MDU_Four Seasons Condominiums of Winter Park,FL,Winter Park,Closed Lost,MDU,P-001021,Winter Park_MDU_Four Seasons Condominiums of Winter Park,Four Seasons Condominiums of Winter Park,FL,Winter Park,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wkAkHYAU,Adiamo Palm Valley,Goodyear_MDU_Adiamo Pine Valley,AZ,Goodyear,Prospects,MDU,P-001113,Goodyear_MDU_Adiamo Pine Valley,Adiamo Pine Valley,AZ,Goodyear,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wkArKYAU,Lawrence Lofts,Seattle_MDU_Lawrence Lofts,WA,Seattle,Prospects,MDU,P-003274,Seattle_MDU_Lawrence Lofts,Lawrence Lofts,WA,Seattle,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wkArMYAU,Madison Crossing,Seattle_MDU_Madison Crossing,WA,Seattle,Prospects,MDU,P-003273,Seattle_MDU_Madison Crossing,Madison Crossing,WA,Seattle,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wkAs5YAE,Seattle Heights,Seattle_MDU_Seattle Heights Condo Association,WA,Seattle,Prospects,MDU,P-002801,Seattle_MDU_Seattle Heights Condo Association,Seattle Heights Condo Association,WA,Seattle,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wkBojYAE,The Outlook at Windhaven,Dallas_MDU_The Outlook at Windhaven,TX,Dallas,On Hold,MDU,P-001818,Dallas_MDU_The Outlook at Windhaven,The Outlook at Windhaven,TX,Dallas,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wkCjuYAE,Bradley Arms,Killeen_MDU_Bradley Arms,TX,Killeen,Marketing/Bulk In Progress,MDU,P-006884,Killeen_MDU_Bradley Arms,Bradley Arms_Colt RE,TX,Killeen,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wkClBYAU,Belterra,Fort Worth_MDU_Belterra,TX,Fort Worth,Prospects,MDU,P-004475,Fort Worth_MDU_Belterra,Belterra,TX,Fort Worth,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wkCm3YAE,Vida Apartments,Georgetown_MDU_Vida Apartments,TX,Georgetown,Closed Lost,MDU,P-002041,Georgetown_MDU_Vida Apartments,Vida Apartments,TX,Georgetown,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wkDLtYAM,Olympus Town Center,Keller_MDU_Olympus Town Center,TX,Keller,Prospects,MDU,P-004486,Keller_MDU_Olympus Town Center,Olympus Town Center,TX,Keller,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wkDLxYAM,Lemon & Pear Tree Apartments,Mesa_MDU_Lemon & Pear Tree Apartments,AZ,Mesa,On Hold,MDU,P-001610,Mesa_MDU_Lemon & Pear Tree Apartments,Lemon & Pear Tree Apartments,AZ,Mesa,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wkDM2YAM,The Forum Apartments FKA Archstone Apartments,Killeen_MDU_Archstone Apartments,TX,Killeen,On Hold,MDU,P-001612,Killeen_MDU_Archstone Apartments,The Forum Apartments FKA Archstone Apartments,TX,Killeen,Future,exact_st_site_name,already_linked_elsewhere
006WR00000wkDM3YAM,Luxe at Ocotillo,Chandler_MDU_Luxe @ Ocotillo,AZ,Chandler,Prospects,MDU,P-004490,Chandler_MDU_Luxe @ Ocotillo,Luxe at Ocotillo,AZ,Chandler,Future,exact_st_site_name,already_linked_elsewhere
