SF_Id,Name,Object,Field,Before,After,Source,Timestamp,Action
006WR00000wkDMfYAM,Lakeshore Gardens,Opportunity,StageName,On Hold,Closed Lost,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDMfYAM,Lakeshore Gardens,Opportunity,Loss_Reason__c,nan,Other (note: PAL Terminated),tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDMzYAM,Apache Bend Apartments,Opportunity,StageName,On Hold,Closed Lost,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDMzYAM,Apache Bend Apartments,Opportunity,Loss_Reason__c,nan,Other (note: PAL Terminated),tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDu7YAE,San Montego Luxury Apartments,Opportunity,StageName,On Hold,PAL/ROE Complete,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDu8YAE,The Turn Apartments,Opportunity,StageName,On Hold,PAL/ROE Complete,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDuCYAU,Avenue 8 Apartments,Opportunity,StageName,On Hold,PAL/ROE Complete,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDuEYAU,Brookwood Apartments,Opportunity,StageName,On Hold,PAL/ROE Complete,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDuGYAU,Mission Palms Apartments,Opportunity,StageName,On Hold,PAL/ROE Complete,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDuHYAU,River Oaks Apartments,Opportunity,StageName,On Hold,PAL/ROE Complete,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDuIYAU,Zona Village,Opportunity,StageName,On Hold,PAL/ROE Complete,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDuKYAU,Fowler's RV Park,Opportunity,StageName,On Hold,PAL/ROE Complete,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDuMYAU,Colonial Plaza,Opportunity,StageName,On Hold,PAL/ROE Complete,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkDuQYAU,Copper Commons,Opportunity,StageName,On Hold,PAL/ROE Complete,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
006WR00000wkEZoYAM,Tierra Pointe,Opportunity,StageName,On Hold,PAL/ROE Complete,tm_onhold_updates_5.5.xlsx,2026-05-05,UPDATE
