SF_Id,SF_Name,Field,Before,After,Source,Action,Timestamp
006WR00000wkEcAYAU,Creekside Apartments,Next_Action__c,,Need PAL addendum and Bulk Agreement,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878083
006WR00000wkEcAYAU,Creekside Apartments,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878104
006WR00000xwGf7YAE,Killeen_MDU_117-121_W_Avenue_A,Next_Action__c,,Perfoming walks on 4/15,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878118
006WR00000xwGf7YAE,Killeen_MDU_117-121_W_Avenue_A,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878129
006WR00000wkEbUYAU,1807 Mulford Apartments_Colt RE,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878138
006WR00000wkEbUYAU,1807 Mulford Apartments_Colt RE,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878147
006WR00000wkDtMYAU,Fort_Hood MHP,Next_Action__c,,Need Customer sign up for us to build,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878156
006WR00000wkDtMYAU,Fort_Hood MHP,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878163
006WR00000wkEbRYAU,Jerome Apartments_Colt RE,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878171
006WR00000wkEbRYAU,Jerome Apartments_Colt RE,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878179
006WR00000wkEbQYAU,307 N Apartments_Colt RE,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878187
006WR00000wkEbQYAU,307 N Apartments_Colt RE,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878198
006WR00000wkEbOYAU,Patriot Place,Next_Action__c,,Need Marketing decision to build to unit or to NID,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878206
006WR00000wkEbOYAU,Patriot Place,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878214
006WR00000wkEbSYAU,Saffari Apts_Colt RE,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878221
006WR00000wkEbSYAU,Saffari Apts_Colt RE,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878229
006WR00000wkEbTYAU,Soaring Eagle Apartments_Colt RE,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878236
006WR00000wkEbTYAU,Soaring Eagle Apartments_Colt RE,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878244
006WR00000wkEbPYAU,1507 N 8th Apartments_Colt RE,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878251
006WR00000wkEbPYAU,1507 N 8th Apartments_Colt RE,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878259
006WR00000wk9RuYAI,Town East,Next_Action__c,,Perfoming walks on 4/15,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878266
006WR00000wk9RuYAI,Town East,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878273
006WR00000wkEcBYAU,Heritage of Newark (FKA Newark Beach Estates),Next_Action__c,,Need Bulk,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878280
006WR00000wkEcBYAU,Heritage of Newark (FKA Newark Beach Estates),Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878288
006WR00000wkDtzYAE,Whispering Hills Apartments,Next_Action__c,,Perfoming walks on 4/15,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878296
006WR00000wkDtzYAE,Whispering Hills Apartments,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878304
006WR00000wkEcDYAU,The 1001 Apartments,Next_Action__c,,PAL addedndum and Marketing,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878312
006WR00000wkEcDYAU,The 1001 Apartments,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878319
006WR00000wkEc8YAE,Bristol Square Apartments,Next_Action__c,,PAL addedndum and Marketing,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878327
006WR00000wkEc8YAE,Bristol Square Apartments,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878335
006WR00000wkEb1YAE,Horizon Heights,Next_Action__c,,Need Data and approval to walk,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878342
006WR00000wkEb1YAE,Horizon Heights,Next_Action_Date__c,,2026-04-28,tracker_xlsb_2026-04-28,UPDATE,2026-04-28T16:17:42.878350
