SF_Id,Name,Field,Before,After,Source,Timestamp,Action
a0BWR000008aAnR2AU,AGR-1532,CREATED,,Type=ROE Status=Completed IronClad=IC-358 Opp=006WR000011kjJpYAI,ROE_ALL 10.15.25,2026-04-29 13:18:44,INSERT
006WR000012PmNyYAK,ROE - 891 KELLER PKWY KELLER TX,CREATED,,Owner=Rose RT=Business_ROE PL=a01WR00000UGY3lYAH,ROE_ALL 10.15.25,2026-04-29 13:18:44,INSERT
a0BWR000008aAp32AE,AGR-1533,CREATED,,Type=ROE Status=Completed IronClad=IC-336 Opp=006WR000012PmNyYAK,ROE_ALL 10.15.25,2026-04-29 13:18:44,INSERT
006WR000012QINpYAO,ROE - 11477 WOODLAND SPRINGS DR FORT WORTH TX,CREATED,,Owner=Rose RT=Business_ROE PL=a01WR00000UGVowYAH,ROE_ALL 10.15.25,2026-04-29 13:18:44,INSERT
a0BWR000008aAqf2AE,AGR-1534,CREATED,,Type=ROE Status=Completed IronClad=IC-365 Opp=006WR000012QINpYAO,ROE_ALL 10.15.25,2026-04-29 13:18:44,INSERT
006WR000012NeWFYA0,ROE - 806 13TH ST BRIDGEPORT TX,CREATED,,Owner=Rose RT=Business_ROE PL=a01WR00000UGXwdYAH,ROE_ALL 10.15.25,2026-04-29 13:18:44,INSERT
a0BWR000008aAsH2AU,AGR-1535,CREATED,,Type=ROE Status=Completed IronClad=IC-731 Opp=006WR000012NeWFYA0,ROE_ALL 10.15.25,2026-04-29 13:18:44,INSERT
006WR000012O6p0YAC,ROE - 616 COUNTY ROAD 4841 HASLET TX,CREATED,,Owner=Rose RT=Business_ROE PL=a01WR00000UGXeJYAX,ROE_ALL 10.15.25,2026-04-29 13:18:44,INSERT
a0BWR000008aAtt2AE,AGR-1536,CREATED,,Type=ROE Status=Completed IronClad=IC-357 Opp=006WR000012O6p0YAC,ROE_ALL 10.15.25,2026-04-29 13:18:44,INSERT
006WR000012OompYAC,ROE - 791 S MAIN ST KELLER TX,CREATED,,Owner=Rose RT=Business_ROE PL=a01WR00000UGXu6YAH,ROE_ALL 10.15.25,2026-04-29 13:18:44,INSERT
a0BWR000008aAvV2AU,AGR-1537,CREATED,,Type=ROE Status=Completed IronClad=IC-397 Opp=006WR000012OompYAC,ROE_ALL 10.15.25,2026-04-29 13:18:44,INSERT
006WR000012QIm1YAG,ROE - 2880 TINSLEY LN FORT WORTH TX,CREATED,,Owner=Rose RT=Business_ROE PL=a01WR00000UGWk9YAH,ROE_ALL 10.15.25,2026-04-29 13:18:44,INSERT
a0BWR000008aAx72AE,AGR-1538,CREATED,,Type=ROE Status=Completed IronClad=IC-419 Opp=006WR000012QIm1YAG,ROE_ALL 10.15.25,2026-04-29 13:18:44,INSERT
