Id,StageName,Loss_Reason__c
006WR00000wkABeYAM,Prospects,
006WR00000wkClPYAU,Closed Lost,Existing Contract
006WR00000wkA8UYAU,Prospects,
006WR00000wkC7yYAE,Prospects,
006WR00000wkCjfYAE,Prospects,
006WR00000wkClBYAU,Closed Lost,Existing Contract
006WR00000wkCljYAE,Prospects,
006WR00000wkDM7YAM,Prospects,
006WR00000wkDMLYA2,Prospects,
006WR00000wkDMKYA2,Prospects,
006WR00000wkDMGYA2,Prospects,
006WR00000wkDMUYA2,Prospects,
006WR00000wkClTYAU,Prospects,
006WR00000wkClcYAE,Prospects,
006WR00000wkDMOYA2,Prospects,
006WR00000wkAByYAM,Prospects,
006WR00000wkClxYAE,Closed Lost,Existing Contract
006WR00000wkDMNYA2,Prospects,
006WR00000wkA98YAE,Prospects,
006WR00000wkCloYAE,Prospects,
006WR00000wk9SuYAI,Prospects,
006WR00000wkClqYAE,Prospects,
006WR00000wkDtEYAU,Prospects,
006WR00000wk9T9YAI,Prospects,
006WR00000wkClVYAU,Closed Lost,Existing Contract
006WR00000wkCjPYAU,Prospects,
006WR00000wkClgYAE,Closed Lost,Existing Contract
006WR00000wkCm8YAE,Closed Lost,Existing Contract
006WR00000wkClaYAE,Closed Lost,Existing Contract
006WR00000wkDtIYAU,Prospects,
006WR00000wkDtJYAU,Prospects,
006WR00000wkDtAYAU,Prospects,
006WR00000wkDtDYAU,Prospects,
006WR00000wk9T8YAI,Prospects,
006WR00000wkA9KYAU,Prospects,
006WR00000wkClMYAU,Closed Lost,Existing Contract
006WR00000wk9T6YAI,Prospects,
006WR00000wkC7xYAE,Prospects,
006WR00000wkClHYAU,Closed Lost,Existing Contract
006WR00000wkCleYAE,Closed Lost,Existing Contract
006WR00000wkCltYAE,Closed Lost,Existing Contract
006WR00000wkA90YAE,Prospects,
006WR00000wk9T7YAI,Prospects,
006WR00000wkABsYAM,Prospects,
006WR00000wkDM6YAM,Prospects,
006WR00000wkCjQYAU,Prospects,
006WR00000wkDMAYA2,Prospects,
006WR00000wkCliYAE,Closed Lost,Existing Contract
006WR00000wkDtOYAU,Prospects,
006WR00000wkArrYAE,Prospects,
006WR00000wj8KcYAI,Prospects,
006WR00000wkA8pYAE,Prospects,
006WR00000wkDtNYAU,Prospects,
006WR00000wkA8tYAE,Prospects,
006WR00000wkDMEYA2,Prospects,
006WR00000wkA8vYAE,Prospects,
006WR00000wkA8wYAE,Prospects,
006WR00000wkA6VYAU,Prospects,
006WR00000wj8KLYAY,Prospects,
006WR00000wkA8gYAE,Prospects,
006WR00000wkCjqYAE,Prospects,
006WR00000wkA8rYAE,Prospects,
006WR00000wkC73YAE,Prospects,
006WR00000wkBTzYAM,Prospects,
006WR00000wkA8FYAU,Prospects,
006WR00000wkCkZYAU,Prospects,
006WR00000wkA8eYAE,Prospects,
006WR00000wj8KeYAI,Prospects,
006WR00000wj8KsYAI,Prospects,
006WR00000wj8KIYAY,Prospects,
006WR00000wiNoNYAU,Prospects,
006WR00000wj8KXYAY,Prospects,
006WR00000wkCkeYAE,Prospects,
006WR00000wjnlaYAA,Prospects,
006WR00000wj8KaYAI,Prospects,
006WR00000wkCkrYAE,Prospects,
006WR00000wkCjsYAE,Prospects,
006WR00000wkCjDYAU,Prospects,
006WR00000wkA8nYAE,Prospects,
006WR00000wkCjoYAE,Prospects,
006WR00000wkA7zYAE,Prospects,
006WR00000wiNonYAE,Prospects,
006WR00000wkAC0YAM,Prospects,
006WR00000wkC7vYAE,Prospects,
006WR00000wkCjhYAE,Prospects,
