Id,Name,Agreement_Name__c,StageName,Loss_Reason__c,Probability,OwnerId,Owner_Name,RecordType
006WR00000wkABeYAM,Azlewood,Azle_MDU_Azlewood,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkClPYAU,Crestwood Apartment Homes,Azle_MDU_Crestwood Apartment Homes,Prospects,,5,005WR00000CXIX7YAP,Chuck McNeely,MDU/SFU
006WR00000wkA8UYAU,Gateway Village Apartments,Azle_MDU_Gateway Village Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkC7yYAE,Quail Run Apartments,Decatur_MDU_Quail Run Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkCjfYAE,Stone Hill Apartments,Decatur_MDU_Stone Hill Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkClBYAU,Belterra,Fort Worth_MDU_Belterra,Prospects,,5,005WR00000CXIX7YAP,Chuck McNeely,MDU/SFU
006WR00000wkCljYAE,Eagle's Point Apartments,Fort Worth_MDU_Eagle's Point Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkDM7YAM,Garden Gate Apartments,Fort Worth_MDU_Garden Gate Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkDMLYA2,Harmon Senior Villas,Fort Worth_MDU_Harmon Senior Villas,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkDMKYA2,Legacy Riverside Senior Living,Fort Worth_MDU_Legacy Riverside Senior Living,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkDMGYA2,North Park Landing Apartments,Fort Worth_MDU_North Park Landing Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkDMUYA2,The Holston,Fort Worth_MDU_The Holston,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkClTYAU,The Palo Apartments,Fort Worth_MDU_The Palo Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkClcYAE,The Palo Townhomes,Fort Worth_MDU_The Palo Townhomes,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkDMOYA2,Georgetown Place Apartments,Georgetown_MDU_Georgetown Place Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkAByYAM,New Life RV Park,Georgetown_MDU_New Life RV Park,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkClxYAE,NorthStar Georgetown,Georgetown_MDU_NorthStar Georgetown,Prospects,,5,005WR00000CXIX7YAP,Chuck McNeely,MDU/SFU
006WR00000wkDMNYA2,Heights at 701,Harker Heights_MDU_Height_at_701_ Apartments,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkA98YAE,Churchill at Golden Triangle,Keller_MDU_Churchill at Golden Triangle,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkCloYAE,Elan at Keller Ranch,Keller_MDU_Elan at Keller Ranch,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wk9SuYAI,Riverside Villas,Keller_MDU_Riverside Villas,Closed Lost,No Contact Info,0,005WR000003CD6DYAW,Melissa Baker,MDU/SFU
006WR00000wkClqYAE,The Lyric at Keller Center Stage,Keller_MDU_The Lyric at Keller Center Stage,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkDtEYAU,Killeen_MDU_408-420 E Hallmark Ave,Killeen_MDU_408-420 E Hallmark Ave,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wk9T9YAI,Killeen_MDU_512 W Green Ave_Morris RE,Killeen_MDU_512 W Green Ave,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
006WR00000wkClVYAU,Bryce Avenue Apartments,Killeen_MDU_Bryce Avenue Apartments,On Hold,,0,005WR00000CXIX7YAP,Chuck McNeely,MDU/SFU
006WR00000wkCjPYAU,Century Plaza,Killeen_MDU_Century Plaza,Closed Lost,No Contact Info,0,005WR00000DEU6oYAH,Bill Holick,MDU/SFU
