SF_Id,Name,Field,Before,After,Source,Timestamp,Action
006WR00000wjdk9YAA,The Junction at Iron Horse,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wjnl0YAA,Country Cousins Mobile Home & RV Park,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wjnlKYAQ,Tremont Sr Apartment Homes,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wjnlLYAQ,Ridge Point,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wk1FYYAY,30 Metro,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wk3OJYAY,The Bronte East,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wk9U8YAI,Mesa Coronado II,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wk9YbYAI,Mesa Senior Meadows,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkA7AYAU,Lincoln Apartments _ FF Freddy,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkA7BYAU,Town & Country Mobile Homes,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
006WR00000wkABSYA2,Somervell Apartments,Property_Category__c,(null/Cat 3),Cat 1,vetro_category_classifier.py v1 (loose rule),2026-04-24T13:49:49,backfill (later corrected)
