SF_Id,Name,Field,Before,After,Source,Timestamp,Action
006WR00000wkBqCYAU,Woodchase Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkCmKYAU,Brickstone Villas,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkBVIYA2,Chappell Oaks Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR000011bcuxYAA,Ville de Sante Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR000011arrAYAQ,740 E 3rd Ave,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkClpYAE,Copper Mountain,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkABSYA2,Somervell Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkBndYAE,Abbey Glenn,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wkDtlYAE,350 E 5th Ave,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wjnlLYAQ,Ridge Point,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wjnlKYAQ,Tremont Sr Apartment Homes,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR00000wk9YbYAI,Mesa Senior Meadows,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
006WR000011bsupYAA,Benson Apartments,Property_Category__c,(v1 Cat 1 or Cat 2),(null),vetro_tightened.py v2,2026-04-24T13:49:49,revert
