Verdict,Owner,Opp_Id,Opp_Name,Sales_Status,Next_Action,Close_Date,Note_Dates,Real_Note_Dates,Tasks_2026,Events_2026,Keep_Reasons
KEEP,Bill Holick,006WR00000wkA8mYAE,4813-4823 Boyd St Apartments,Contact Pending,,2026-06-01,"2026-03-24,2026-04-24",2026-04-24,0,0,real note dates: 2026-04-24; close date: 2026-06-01
KEEP,Bill Holick,006WR00000wkA8zYAE,6314 Boyd Street,Contact Pending,,2026-06-01,"2026-03-24,2026-04-24",2026-04-24,0,0,real note dates: 2026-04-24; close date: 2026-06-01
KEEP,Bill Holick,006WR00000wkA7aYAE,Amberwood Manor,Reached Out - Pending Response,,2026-06-01,"2026-03-24,2026-04-24",2026-04-24,0,0,real note dates: 2026-04-24; close date: 2026-06-01
KEEP,Bill Holick,006WR00000wkCk8YAE,Bridgewood Townhomes,Contact Pending,,2026-06-01,"2026-03-24,2026-04-24",2026-04-24,0,0,real note dates: 2026-04-24; close date: 2026-06-01
KEEP,Bill Holick,006WR00000wk9SpYAI,Carmel Creekside,Reached Out - Pending Response,,2026-06-26,2026-03-24,,0,0,close date: 2026-06-26
KEEP,Bill Holick,006WR00000wkA8LYAU,Elan Sandpiper,Reached Out - Pending Response,[Ting Exclusive Priority] FDH activated - working toward ROE,,"2026-03-24,2026-04-07",,0,0,Ting Exclusive Priority
KEEP,Bill Holick,006WR00000wkBTuYAM,Indian Hills Village Apartments,Reached Out - Pending Response,"Build approved - NID construction greenlit, target serviceable by 5/31/2026",,"2026-03-24,2026-04-24",2026-04-24,0,0,real note dates: 2026-04-24
KEEP,Bill Holick,006WR00000wkABpYAM,Liberty Manor,Reached Out - Pending Response,,2026-06-01,"2026-03-24,2026-04-24",2026-04-24,0,0,real note dates: 2026-04-24; close date: 2026-06-01
KEEP,Bill Holick,006WR00000wkDMHYA2,Mesa_MDU_Del Corona Apts Del Coronado,Reached Out - Pending Response,,2026-06-01,"2026-03-24,2026-04-24",2026-04-24,0,0,real note dates: 2026-04-24; close date: 2026-06-01
KEEP,Bill Holick,006WR00000wk9SvYAI,Park_Place,Reached Out - Pending Response,,2026-07-31,2026-03-24,,0,0,close date: 2026-07-31
KEEP,Bill Holick,006WR00000wkA95YAE,Parkwood Apartments,Contact Pending,,2026-06-01,"2026-03-24,2026-04-24",2026-04-24,0,0,real note dates: 2026-04-24; close date: 2026-06-01
KEEP,Bill Holick,006WR00000wk9SuYAI,Riverside Villas,Reached Out - Pending Response,,2026-07-31,2026-03-24,,0,0,close date: 2026-07-31
KEEP,Bill Holick,006WR00000wk9S2YAI,The Veranda at Twin Creek Apartments,Reached Out - Pending Response,,2026-04-24,2026-03-24,,0,0,close date: 2026-04-24
KEEP,Bill Holick,006WR00000wkC7YYAU,Westmount at The District Apartments,Reached Out - Pending Response,,2026-05-01,"2026-03-24,2026-04-17,2026-04-24","2026-04-17,2026-04-24",0,0,"real note dates: 2026-04-17,2026-04-24; close date: 2026-05-01"
KEEP,Bill Holick,006WR00000wkC7WYAU,Westmount at Urban Trails,Reached Out - Pending Response,,2026-05-01,"2026-03-24,2026-04-17,2026-04-24","2026-04-17,2026-04-24",0,0,"real note dates: 2026-04-17,2026-04-24; close date: 2026-05-01"
KEEP,Bill Holick,006WR00000wkC7zYAE,Williamsburg Townhomes and Apartments,Reached Out - Pending Response,,2026-06-01,"2026-03-24,2026-04-24",2026-04-24,0,0,real note dates: 2026-04-24; close date: 2026-06-01
KEEP,Brett Spivey,006WR00000wk9SqYAI,Hunter's Glen Apartments,Reached Out - Pending Response,,2026-06-26,2026-03-24,,0,0,close date: 2026-06-26
KEEP,Brett Spivey,006WR00000wk9SlYAI,Mariposa Apartment Homes at River Bend,Reached Out - Pending Response,,2026-05-29,2026-03-24,,0,0,close date: 2026-05-29
KEEP,Brett Spivey,006WR00000wk9SDYAY,Meadow Glen Mobile Home Park,Reached Out - Pending Response,,2026-09-30,2026-03-24,,0,0,close date: 2026-09-30
KEEP,Brett Spivey,006WR00000wk9STYAY,Stone Ranch,Reached Out - Pending Response,,2026-07-31,2026-03-24,,0,0,close date: 2026-07-31
KEEP,Chuck McNeely,006WR00000wk9SbYAI,Benson Gardens Blvd,Reached Out - Pending Response,,,"2026-03-24,2026-04-17",2026-04-17,0,0,real note dates: 2026-04-17
KEEP,Chuck McNeely,006WR00000wk9ScYAI,Cass Street Apartments,Reached Out - Pending Response,,,"2026-03-24,2026-04-17",2026-04-17,0,0,real note dates: 2026-04-17
KEEP,Chuck McNeely,006WR00000wk9SaYAI,Dundee Court,Reached Out - Pending Response,,,"2026-03-24,2026-04-17",2026-04-17,0,0,real note dates: 2026-04-17
KEEP,Jeff Chao,006WR00000wk9SsYAI,Sandpiper Pointe,Reached Out - Pending Response,,,"2026-03-24,2026-04-24",2026-04-24,0,0,real note dates: 2026-04-24
REVERT,Justin Barry,006WR00000ywTa9YAE,127 W Glaucus St - A,Contact Pending,,,"2026-04-07,2026-04-21",,0,0,
REVERT,Justin Barry,006WR00000ywTWvYAM,127 W. Glaucus,Contact Pending,,,"2026-04-07,2026-04-21",,0,0,
REVERT,Justin Barry,006WR00000ywTdNYAU,"225 S. Hwy 101 , 17",Reached Out - Pending Response,,,"2026-04-07,2026-04-21",,0,0,
