Id,Name,Business_Base_Address__c,Market__c,State__c,City__c,Circuit_ID__c,FDH_Name__c,Serving_Area__c,Import_DateTime__c
a01WR00000UFlxwYAD,10020 NICHOLAS ST OMAHA NE,10024 NICHOLAS ST OMAHA NE,OMAHA,NE,OMAHA,NE0109-008000067A,NE_OMAHA_SA09_FDH08,SA09,2025-06-02T15:04:00.000+0000
a01WR00000UFly5YAD,1004 DUNAWAY LN AZLE TX,1004 DUNAWAY LN AZLE TX,DFW,TX,AZLE,TX0601-010000096A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UFly6YAD,1004 FM 156 S HASLET TX,1004 FM 156 S HASLET TX,DFW,TX,HASLET,TX0602-034000196A,TX_DFW_SA04_FDH34,SA04,2025-10-06T18:05:06.000+0000
a01WR00000UFly7YAD,1004 KIMBROUGH RD AZLE TX,1004 KIMBROUGH RD AZLE TX,DFW,TX,AZLE,TX0601-009000014A,TX_DFW_SA02_FDH09,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UG824YAD,100 BLUE MOUND E RD HASLET TX,100 BLUE MOUND E RD HASLET TX,DFW,TX,HASLET,TX0602-034000189A,TX_DFW_SA04_FDH34,SA04,2025-10-06T18:05:06.000+0000
a01WR00000UG82VYAT,100 GINGER CT SOUTHLAKE TX,100 GINGER CT SOUTHLAKE TX,DFW,TX,SOUTHLAKE,TX0606-008000013A,TX_DFW_SA01_FDH58,SA01,2025-10-06T18:05:06.000+0000
a01WR00000UG82WYAT,100 GLENHAVEN DR AZLE TX,100 GLENHAVEN DR AZLE TX,DFW,TX,AZLE,TX0601-010000039A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UG83BYAT,1000 DUNAWAY LN AZLE TX,1000 DUNAWAY LN AZLE TX,DFW,TX,AZLE,TX0601-010000134A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UG83KYAT,1000 KIMBROUGH RD AZLE TX,1000 KIMBROUGH RD AZLE TX,DFW,TX,AZLE,TX0601-009000015A,TX_DFW_SA02_FDH09,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGMVQYA5,9560 TEN MILE BRIDGE RD FORT WORTH TX,9560 TEN MILE BRIDGE RD FORT WORTH TX,DFW,TX,FORT WORTH,TX0601-007000225A,TX_DFW_SA02_FDH07,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGMVSYA5,9569 CHUPAROSA DR FORT WORTH TX,9569 CHUPAROSA DR FORT WORTH TX,DFW,TX,FORT WORTH,TX0604-004000741A,TX_DFW_SA09_FDH04,SA09,2025-10-06T18:05:06.000+0000
a01WR00000UGMVWYA5,9570 TEN MILE BRIDGE RD FORT WORTH TX,9570 TEN MILE BRIDGE RD FORT WORTH TX,DFW,TX,FORT WORTH,TX0601-007000229A,TX_DFW_SA02_FDH07,SA02,2025-10-06T18:05:06.000+0000
