Id,Name,Circuit_ID__c,Unit__c,Activated__c,Address_Activation_Date__c,Address_Deactivated__c,Import_DateTime__c,Parent_Business_Base_Address
a02WR00000FcLpHYAV,100 BLUE MOUND RD E HASLET TX 76052,TX0602-034000189A,,No,,No,2025-10-06T18:04:52.000+0000,100 BLUE MOUND E RD HASLET TX
a02WR00000FcLppYAF,100 GINGER CT SOUTHLAKE TX 76092,TX0606-008000013A,,No,,No,2025-10-06T18:04:52.000+0000,100 GINGER CT SOUTHLAKE TX
a02WR00000FcLpqYAF,100 GLENHAVEN DR AZLE TX 76020,TX0601-010000039A,,No,,No,2025-10-06T18:04:52.000+0000,100 GLENHAVEN DR AZLE TX
a02WR00000FcLqbYAF,1000 DUNAWAY LN AZLE TX 76020,TX0601-010000134A,,No,,No,2025-10-06T18:04:52.000+0000,1000 DUNAWAY LN AZLE TX
a02WR00000FcLqlYAF,1000 KIMBROUGH RD AZLE TX 76020,TX0601-009000015A,,No,,No,2025-10-06T18:04:52.000+0000,1000 KIMBROUGH RD AZLE TX
a02WR00000FcLu2YAF,1004 DUNAWAY LN AZLE TX 76020,TX0601-010000096A,,No,,No,2025-10-06T18:04:52.000+0000,1004 DUNAWAY LN AZLE TX
a02WR00000FcLu3YAF,1004 FM 156 S HASLET TX 76052,TX0602-034000196A,,No,,No,2025-10-06T18:04:52.000+0000,1004 FM 156 S HASLET TX
a02WR00000FcLu4YAF,1004 KIMBROUGH RD AZLE TX 76020,TX0601-009000014A,,No,,No,2025-10-06T18:04:52.000+0000,1004 KIMBROUGH RD AZLE TX
a02WR00000FcLuoYAF,1008 DUNAWAY LN AZLE TX 76020,TX0601-010000109A,,No,,No,2025-10-06T18:04:52.000+0000,1008 DUNAWAY LN AZLE TX
a02WR00000FcLuqYAF,1008 HARBOR DR S AZLE TX 76020,TX0601-009000010A,,No,,No,2025-10-06T18:04:52.000+0000,1008 HARBOR S DR AZLE TX
a02WR00000FcLvRYAV,101 GLENHAVEN DR AZLE TX 76020,TX0601-010000041A,,No,,No,2025-10-06T18:04:52.000+0000,101 GLENHAVEN DR AZLE TX
a02WR00000FcLvsYAF,396 S ASH AVE AZLE TX 76020,TX0601-011000006A,,No,,No,2025-10-06T18:04:52.000+0000,396 S ASH AVE AZLE TX
a02WR00000FcLwmYAF,400 WELLS BURNETT RD AZLE TX 76020,TX0601-007000212A,,No,,No,2025-10-06T18:04:52.000+0000,400 WELLS BURNETT RD AZLE TX
a02WR00000FcLxWYAV,4000 KELLER HICKS RD FORT WORTH TX 76244,TX0606-015000002A,,No,,No,2025-10-06T18:04:52.000+0000,4000 KELLER HICKS RD FORT WORTH TX
a02WR00000FcLxYYAV,4001 LONGSTRAW DR FORT WORTH TX 76137,TX0604-009000036A,,No,,No,2025-10-06T18:04:52.000+0000,4001 LONGSTRAW DR FORT WORTH TX
a02WR00000FcLxxYAF,4005 LONGSTRAW DR FORT WORTH TX 76137,TX0604-009000004A,,No,,No,2025-10-06T18:04:52.000+0000,4005 LONGSTRAW DR FORT WORTH TX
a02WR00000FcLy1YAF,4009 LONGSTRAW DR FORT WORTH TX 76137,TX0604-009000010A,,No,,No,2025-10-06T18:04:52.000+0000,4009 LONGSTRAW DR FORT WORTH TX
a02WR00000FcLyGYAV,401 HARBOR DR AZLE TX 76020,TX0601-009000013A,,No,,No,2025-10-06T18:04:52.000+0000,401 HARBOR DR AZLE TX
a02WR00000FcLyiYAF,401 WISHBONE LN FORT WORTH TX 76052,TX0602-025000022A,,No,,No,2025-10-06T18:04:52.000+0000,401 WISHBONE LN FORT WORTH TX
a02WR00000FcLzDYAV,101 N ASH AVE AZLE TX 76020,TX0601-010000085A,,No,,No,2025-10-06T18:04:52.000+0000,101 N ASH AVE AZLE TX
a02WR00000FcM0uYAF,1012 DUNAWAY LN AZLE TX 76020,TX0601-010000095A,,No,,No,2025-10-06T18:04:52.000+0000,1012 DUNAWAY LN AZLE TX
a02WR00000FcM0xYAF,1012 HARBOR DR S AZLE TX 76020,TX0601-009000011A,,No,,No,2025-10-06T18:04:52.000+0000,1012 HARBOR S DR AZLE TX
a02WR00000FcM16YAF,1013 SOUTHEAST PKWY AZLE TX 76020,TX0601-010000034A,,No,,No,2025-10-06T18:04:52.000+0000,1013 SOUTHEAST PKWY AZLE TX
