opp_id,name,field,prior_value
006WR00000wkDttYAE,Legend of Fort Worth: Senior Living_OneSource project,Property_Category__c,Cat 2
006WR00000wkEb6YAE,Pecan Acres RV Park,Property_Category__c,
006WR00000wkEcAYAU,Creekside Apartments,Property_Category__c,
006WR00000wkEcfYAE,Enclave at Westport,Property_Category__c,Cat 2
006WR00000wkEcmYAE,Arbors of Killeen,Property_Category__c,Cat 2
006WR00000xuz6uYAA,Omaha_MDU_Warwick Apts,Property_Category__c,
006WR00000xw0VXYAY,Omaha_MDU_4822-4824 Cass St,Property_Category__c,
006WR00000y2k2dYAA,Omaha_MDU_3344-3348 Larimore Ave,Property_Category__c,
006WR00000y3NdSYAU,Omaha_MDU_Benson Crest Apartments 2,Property_Category__c,
006WR00000y3k29YAA,Omaha_MDU_9208 Ohio St,Property_Category__c,
006WR00000y3k5NYAQ,Decatur_MDU_Smallwood Trailer Park,Property_Category__c,
006WR00000y46nRYAQ,Omaha_MDU_Farnam Flats,Property_Category__c,
