Source,State,AgreeName,Address,Units,Active Units,FDH Activation Date,City,RE Assigned,ROE Executed Date,PAL Executed Date,RE Status,Closed Date,Closed Bucket,Closed Notes,Existing Fiber Provider,Off Hold/Exp Date,Notes,Management Company,Owner/Property Contact
Site Data,AZ,Mesa_MDU_SOUTHERN AND STAPLEY TOWNHOMES,1119 S STAPLEY DR UNIT 101 MESA AZ 85204,20,0,5/30/2025,Mesa,TF,,,Closed - Lost,46055,Existing Fiber,,,,1/24/26 no owner contact info. 1/29/26 having field check done to determine if this new build condos to rent property has fiber to the unit already. 2/2/26 field visit determined only coax available.,,HOA: Southern & Stapley Community Association. Condos: Villge Crossing at Stapley Owner LLC
Site Data,AZ,Mesa_MDU_Los Pinos Apartments,1206 E 9TH AVE MESA AZ 85204,10,0,5/30/2025,Mesa,TF,,,Closed - Market Reviewed,46087,Contact Info,No contact info for owner. Mailed ROE letter to tax address. No response.,,,"Need local support for owner/PM contact info 2/24/26 field support provided management info. Spoke w/ Frank, sold Biz to Pure 5 years ago. Sent inquiry thru website for PM 3/5 VM",All Az Property Management & Pure Property Management 480-969-1818 automated system. az.purepm.co  /formerly Bennett Prop MgmtFrank 480-688-1818,"RMR Investments LLC, PO Box 22223, Mesa, AZ 85277. Parcel # 139-53-083D parcel address is 859 S Stapley and includes several addresses."
Site Data,AZ,Mesa_MDU_707-715 E Dana 135 S Ashland,135 S ASHLAND MESA AZ 85204,11,0,6/20/2025,Mesa,TF,,,Closed - Market Reviewed,46077,Contact Info,No contact info for owner. Mailed ROE letter to tax address. No response. 2/24/26 local field support had no info,,,Need local support for owner/PM contact info,,"Fuller Family Trust 526 E Laurel Ave, Glendora, CA 91740"
Site Data,AZ,Mesa_MDU_202-228 E 2nd Ave,202 E 2ND AVE MESA AZ 85210,10,0,8/22/2025,Mesa,TF,,,Closed - Lost,46087,Not Interested,,,,"5 duplexes on single parcel. listed for sale 1/6/2026. 1/27/26 Tried calling, VM not set up. Sent email. 2/6/26 unable to VM 2/10/26 tried calling, resent email. since property listed for sale, with ROE, he can market fiber connectivity. 3/6 Called, can't leave msg. Closed.",,Green Jay Properties LLC c/o Andrew Peters 702-686-1251 andrew.peters15@gmail.com
Site Data,AZ,Mesa_MDU_LaMar Apartments,215 E 1ST AVE UNIT 101 MESA AZ 85210,18,0,7/30/2025,Mesa,TF,,,Closed - Lost,46107,Not Interested,,,,"Need local support for owner/PM contact info 2/24/26 field support provided leasing contact. # wasn't in service. Found her cell, spoke, she gave me onsite PM contact. Left him VM 2/26 got text from him, spoke, emailed ROE 3/6 VM/resent ROE 3/18 VM ",Romona (mona) Bleick 562-362-5823 562-400-2848m. Onsite PM Richard Tafoya 480-622-6633 rickyTAF48@gmail.com,Lamar Rentals LLC: no contact info
Site Data,AZ,Mesa_MDU_36 S Lesueur,35 S UDALL UNIT 101 MESA AZ 85204,16,0,7/30/2025,Mesa,TF,,,Closed - Lost,46055,Existing Fiber,Cox fiber to the building,,,24/26 unable to locate owner contact info. 1/29/26 having field check done to determine if this new build has fiber to the unit.2/2/26 field visit determined cox fiber to building,,Property Reserve Arizona LLC (real estate arm of the Church of Latter Day Saints). 
Site Data,AZ,Mesa_MDU_447-451 S Olive,447 S OLIVE UNIT 1 MESA AZ 85204,12,0,6/20/2025,Mesa,TF,,,Data Issue,,,"closest fiber is 1,500' to the property",,,"fiber is 1,500' away",,Olive Street Investment LLC c/o Brian Wolfe 602-451-6175 wolfesd76@gmail.com
Site Data,AZ,Mesa_MDU_El Rancho Del Sol Apts,659 E MAIN ST UNIT 101 MESA AZ 85204,22,0,7/30/2025,Mesa,TF,,,Data Issue,,,Now a 47 unit MDU that the Site Acq team is pursueing,,,This has been redeveloped to a 47 unit MDU and is included on the MDU Site Acq list.  elranchodelsolaptsaz.com,MEB Affordable Management 480-588-6822,"El Rancho Affordable Housing II LP c/o Belinda Lee, 47 unit/2 buildings.
Community Development Partners 949-467-1344o, 530-207-9893m blee@communitydevpartners.com "
Site Data,AZ,Mesa_MDU_725-732 E Dana,725 E DANA AVE UNIT 101 MESA AZ 85204,16,0,6/20/2025,Mesa,TF,,,Closed - Market Reviewed,46051,Contact Info,no contact info.  2/24/26 field support wasn't able to locate anything.,,,1/29/26 owner phone # not valid. No other contact info for owner or PM,,QTKQ Investment Holdings LLC 623-376-6311 c/o Todd Breuer 
Site Data,AZ,Mesa_MDU_Blue Ridge Apartments,819 S STAPLEY DR MESA AZ 85204,19,0,5/30/2025,Mesa,TF,,,Closed - Lost,46087,Not Interested,,,,"1/28/26 VM for Johnny 2/3/26 called several times, didn't LM 2/5/26 VM for Ellacia, send ROE 3/5 VM. Mark closed - lost since owner nor PM have responded to multiple attempts.","PM & leasing: PJ Hussey 623-930-7700, 602-320-2448. leasing: Ellacia Maxey ellacia@pjhussey.com",Blue Ridge Apartments JC LLC c/o Johnny Chiem 408-406-3517
