Id,Name,StageName,Agreement_Name__c,Property_Address__c,Property_City__c,Property_State__c,Units__c,Loss_Reason__c,RE_Assigned__c
006WR00000wj8KWYAY,102 West 9th Place Apartments,Prospecting,,102-128 W 9th Pl  Mesa az 85201,Mesa,Arizona,25.0,,
006WR00000wj8KCYAY,1151 W Dragoon Cir,Prospecting,,"1151 W Dragoon Cir, Mesa, AZ 85210, USA",Mesa,Arizona,36.0,,
006WR00000wkC7NYAU,1245 W Baseline Rd,Closed Lost,,"1245 W Baseline Rd, Mesa, AZ, USA",Mesa,Arizona,6.0,Other,
006WR00000wj8K5YAI,1758 S Val Vista Dr,Prospecting,,"1440 S Val Vista Dr, Mesa, AZ 85204, USA",Mesa,Arizona,320.0,,
006WR00000wkBG5YAM,1st Avenue Apartments (Old Name - Southwest Villa),Prospecting,Mesa_MDU_1st Avenue Apartments,"750 E 1st Ave, Mesa, AZ 85204, USA",Mesa,Arizona,16.0,,005WR0000030R1hYAE
006WR00000wkAkRYAU,2 Vista Vallley Apartments/LONGMORE ESTATES CONDOS NORTH & SOUTH,Prospecting,,"850 South Longmore #141, Mesa, AZ 85202, USA",Mesa,Arizona,98.0,,
006WR00000wkBG9YAM,201 S Crismon Rd (MHP),Prospecting,,"201 S Crismon Rd, Mesa, AZ 85208, USA",Mesa,Arizona,57.0,,
006WR00000wkBGcYAM,211 E 7th St,Prospecting,,"211 East 7th Street, Tempe, AZ, USA",Tempe,Arizona,380.0,,
006WR00000wkCjVYAU,215 N Power Rd,Prospecting,,"215 N Power Rd, Mesa, AZ, USA",Mesa,Arizona,542.0,,
006WR00000wiNnrYAE,2150 Apartments,Prospecting,,"2150 South Arizona Avenue, Chandler, AZ, USA",Chandler,Arizona,289.0,,
006WR00000wkDt2YAE,25 Space Yucca Trailer Ranch,Prospecting,Mesa_MDU_YUCCA TRAILER RANCH,"735 S Country Club Dr, Mesa, AZ 85210, USA",Mesa,Arizona,25.0,,
006WR00000wkEzRYAU,2nd Ave Commons,Closed Lost,,"140 W 2nd Ave, Mesa, AZ 85210, USA",Mesa,Arizona,144.0,Existing Fiber,
006WR00000wj8K9YAI,315-321 N Higley Rd,Prospecting,,"315-321 N Higley Rd, Mesa, AZ 85205, USA",Mesa,Arizona,30.0,,
006WR00000wkDtlYAE,350 E 5th Ave,Prospecting,,"350 E 5th Ave, Mesa, AZ 85210, USA",Mesa,Arizona,4.0,,
006WR00000wk9V2YAI,505 West Apartment Homes,Prospecting,,"505 W Baseline Rd, Tempe, AZ, USA",Tempe,Arizona,334.0,,
006WR00000wkClIYAU,544 Southern,Closed Lost,Mesa_MDU_544 Southern Apartments,544 E SOUTHERN AVE MESA 85204,Mesa,Arizona,136.0,Existing Contract,
