Id,old_name,proposed_name,stage,status
006WR00000xuAVsYAM,KILLEEN_MDU_505 UTAH ST,Killeen_MDU_505 Utah St,Closed Lost,
006WR00000xv9auYAA,BRIDGEPORT_SA01_FDH08_PA02,Bridgeport_SA01_FDH08_PA02,ROE Secured,
006WR00000xvCKIYA2,OMAHA_MDU_AMBASSADOR APARTMENTS,Omaha_MDU_Ambassador Apartments,Closed Lost,
006WR00000xvJNLYA2,OMAHA_MDU_108 S 49TH AVE,Omaha_MDU_108 S 49TH Ave,Closed Lost,
006WR00000xvVRkYAM,NE_OMAHA_SA12_FDH26_MDU_ARLON HUNT LLC,NE_Omaha_SA12_FDH26_MDU_Arlon Hunt LLC,Closed Lost,
006WR00000xvY31YAE,NE_OMAHA_SA12_FDH12_MDU_OMAHA HOME FOR BOYS,NE_Omaha_SA12_FDH12_MDU_Omaha Home for Boys,Closed Lost,
006WR00000xvlrSYAQ,NE_MDU_LARIMORE SENIOR LIVING,NE_MDU_Larimore Senior Living,Prospecting,
006WR00000xw41GYAQ,BRIDGEPORT_SA01_FDH08_PA01,Bridgeport_SA01_FDH08_PA01,ROE Secured,
006WR00000xwFEPYA2,NE_OMAHA_SA06_FDH37_MDU_ EGAD LLC,NE_Omaha_SA06_FDH37_MDU_ Egad LLC,Closed Lost,
006WR00000xwGC5YAM,NE_OMAHA_SA12_FDH26_PA12,NE_Omaha_SA12_FDH26_PA12,Closed Lost,
006WR00000xwGf7YAE,KILLEEN_MDU_117-121_W_AVENUE_A,Killeen_MDU_117-121_W_Avenue_A,ROE Secured,
