st_name,st_id,opp_id,opp_name,st_site_name
P-006318,a0FWR00000XH9of2AD,006WR00000wk9ULYAY,Cottages of Edina,Hornig_MDU_Cottages of Edina
P-006333,a0FWR00000XH9rt2AD,006WR00000wkEcgYAE,Northampton Arms Apartments,Omaha_MDU_Northampton Arms Apartments
P-006376,a0FWR00000XH9v72AD,006WR00000wkEcbYAE,Alexandra Apartments,Cedar Rapids_MDU_Alexandra Apartments
P-006394,a0FWR00000XH9zx2AD,006WR00000wkEceYAE,Pheasant Run Apartments,Cedar Rapids_MDU_Pheasant Run Apartments
P-006397,a0FWR00000XHA3B2AX,006WR00000wkEceYAE,Pheasant Run Apartments,Cedar Rapids_MDU_Pheasant Run Apartments
P-006415,a0FWR00000XHA4n2AH,006WR00000wkEceYAE,Pheasant Run Apartments,Cedar Rapids_MDU_Pheasant Run Apartments
P-006430,a0FWR00000XHA812AH,006WR00000wkEceYAE,Pheasant Run Apartments,Cedar Rapids_MDU_Pheasant Run Apartments
P-006431,a0FWR00000XHA9d2AH,006WR00000wkEcbYAE,Alexandra Apartments,Cedar Rapids_MDU_Alexandra Apartments
P-006488,a0FWR00000XHAJJ2A5,006WR00000yvz12YAA,Cambria HOA,Gilbert_MDU_Cambria Apartments
P-004252,a0FWR00000VMnOP2A1,006WR00000yuOtDYAU,Pacifica Leucadia HOA,Encinitas_MDU_Pacifica Leucadia HOA
P-001802,a0FWR00000XGj9S2AT,006WR00000wjKFoYAM,Versante Apartment Homes,Avondale_MDU_Versante
P-004312,a0FWR00000XH9Th2AL,006WR00000wk1EEYAY,Henderson Terrace Apartments,Feeder_MDU_Henderson Terrace
P-001113,a0FWR00000XH7oT2AT,006WR00000wkAkHYAU,Adiamo Palm Valley,Goodyear_MDU_Adiamo Pine Valley
P-002801,a0FWR00000XH7y92AD,006WR00000wkAs5YAE,Seattle Heights,Seattle_MDU_Seattle Heights Condo Association
