Id,old_name,new_name,old_status,new_status
006WR00000wjdkrYAA,Skandia  Mobile Country Club,Skandia Mobile Country Club,,Contact Pending
006WR00000wkA7CYAU,Aurora Meadows Apartments  (Lumen CO),Aurora Meadows Apartments (Lumen CO),,Reached Out - Pending Response
006WR00000wkA7EYAU,Ivy Crossing Apartment Homes  (Lumen CO),Ivy Crossing Apartment Homes (Lumen CO),,Reached Out - Pending Response
006WR00000wkA7JYAU,Noahs Landing  (Lumen FL_Starwood),Noahs Landing (Lumen FL_Starwood),,Reached Out - Pending Response
006WR00000wkA7KYAU,Whistler's Cove Apartments   (Lumen FL_Starwood),Whistler's Cove Apartments (Lumen FL_Starwood),,Reached Out - Pending Response
006WR00000wkA7NYAU,Buena Vista Point Apartments  (Lumen FL_Starwood),Buena Vista Point Apartments (Lumen FL_Starwood),,Reached Out - Pending Response
006WR00000wkACYYA2,The Townes at PV Landing Condo                     (The Vistas),The Townes at PV Landing Condo (The Vistas),,Contact Pending
006WR00000wkAk1YAE,The Bluffs at  Carlsbad,The Bluffs at Carlsbad,,Reached Out - Pending Response
006WR00000wkDstYAE,Southern Palms Mobile Home  & RV Park,Southern Palms Mobile Home & RV Park,,Reached Out - Pending Response
006WR00000wkDszYAE,Arbor on Broadway (Now Called)  Buenas on Broadway,Arbor on Broadway (Now Called) Buenas on Broadway,,Reached Out - Pending Response
006WR00000wkDtGYAU,"{""text6__1""=>""HARKER_HEIGHTS_MDU_207-217 W Beeline MHP""}",HARKER_HEIGHTS_MDU_207-217 W Beeline MHP,,Reached Out - Pending Response
006WR00000wkDtMYAU,Fort_Hood  MHP,Fort_Hood MHP,,Contact Pending
006WR00000wkDtNYAU,"{""text6__1""=>""Omaha_MDU_Cherry Tree Apartments""}",Omaha_MDU_Cherry Tree Apartments,,Contact Pending
006WR00000wkDtOYAU,"{""text6__1""=>""OMAHA_MDU_58TH_Plaza_CIR""}",OMAHA_MDU_58TH_Plaza_CIR,,Contact Pending
