Id,old,new,stage,status,status_set
006WR00000wj8KcYAI,Camelot Village⚫,Camelot Village,Prospecting,,Reached Out - Pending Response
006WR00000wk3PGYAY,Village Creek Townhomes⚫,Village Creek Townhomes,On Hold,,
006WR00000wk3PHYAY,Rio Apartments ⚫,Rio Apartments,On Hold,,
006WR00000wkA8IYAU,Keystone Park Apartments⚫,Keystone Park Apartments,Prospecting,,Reached Out - Pending Response
006WR00000wkAjeYAE,Shadow Ridge Apartments⚫,Shadow Ridge Apartments,Prospecting,,Reached Out - Pending Response
006WR00000wkBU4YAM,Copper Ridge HOA⚫,Copper Ridge HOA,Prospecting,,Reached Out - Pending Response
006WR00000wkBpyYAE,Station 121 at Town Center⚫,Station 121 at Town Center,Prospecting,,Reached Out - Pending Response
006WR00000wkBq5YAE,The Canyons Apartments⚫,The Canyons Apartments,On Hold,,
006WR00000wkC6VYAU,The Falls & Oaks Village⚫,The Falls & Oaks Village,On Hold,,
006WR00000wkDMiYAM,The Berkeley Apartments⚫,The Berkeley Apartments,On Hold,,
006WR00000wkDMjYAM,Dixon at Stonegate⚫,Dixon at Stonegate,On Hold,,
006WR00000wkDMkYAM,Trinity Heights Apartments ⚫,Trinity Heights Apartments,On Hold,,
006WR00000wkF0wYAE,Presidium at Revelstoke⚫,Presidium at Revelstoke,Closed Lost,,
006WR00000wkF0zYAE,Madera at Leftbank⚫,Madera at Leftbank,Closed Lost,,
006WR00000wkF10YAE,Trinity Urban Apartments - Bluff & District⚫,Trinity Urban Apartments - Bluff & District,Closed Lost,,
