Id,old_name,proposed_name,stage,status,status_set
006WR00000SNUwXYAX,OVERCOMERS CHURCH - SMB 1G,Overcomers Church - SMB 1G,Closed Won,,
006WR00000STzxgYAD,DRIP ATHLETIC - SMB 1G,Drip Athletic - SMB 1G,Under Contract,,
006WR00000SUnnxYAD,GESU HOUSING - SMB 300M & (1) VOICELINE,Gesu Housing - SMB 300M & (1) Voiceline,Closed Won,,
006WR00000SV2GlYAL,COMPASSION & CARE - SMB 2G,Compassion & Care - SMB 2G,Under Contract,,
006WR00000SiYltYAF,AJ CAFE - 1G SMB,AJ Cafe - 1G SMB,Under Contract,,
006WR00000SonztYAB,CREATIVE STRUCTURES - SMB 1G,Creative Structures - SMB 1G,Under Contract,,
006WR00000SuRVGYA3,KOZY LAWN CARE - SMB 1G,Kozy Lawn Care - SMB 1G,Closed Won,,
006WR00000SuzOsYAJ,NORTHWEST CHIRO - SMB 1G,Northwest Chiro - SMB 1G,Closed Won,,
006WR00000T0q9CYAR,KEYSTONE TAVERN - BL(1),Keystone Tavern - BL(1),Closed Won,,
006WR00000TytLvYAJ,NEBRASKA HEALTH NETWORK - SLA - 1G/3 BL,Nebraska Health Network - SLA - 1G/3 BL,Closed Won,,
006WR00000U4lohYAB,ELEMENT PRIMARY - SMB 1G,Element Primary - SMB 1G,Under Contract,,
006WR00000U4tXhYAJ,ADVANCED SPINE -,Advanced Spine,Under Contract,,
006WR00000UJUYzYAP,BROWN CONSULTING - SMB 1G,Brown Consulting - SMB 1G,Under Contract,,
006WR00000UlqBZYAZ,CODE BLACK TECH - SLA 1G,Code Black Tech - SLA 1G,Under Contract,,
006WR00000XKjNlYAL,PRIMETIME - PHONE PROSPECT,Primetime - Phone Prospect,Under Contract,,
006WR00000XKyZjYAL,HAUSMANN - PHONE PROSPECT,Hausmann - Phone Prospect,Under Contract,,
006WR00000wiNntYAE,CHANDLER MEADOWS,Chandler Meadows,Prospecting,,Contact Pending
006WR00000wiNooYAE,The Ridge & Shores Apartments -,The Ridge & Shores Apartments,Prospecting,,Contact Pending
006WR00000wjKGoYAM,CANADA HILLS,Canada Hills,Prospecting,,Contact Pending
006WR00000wjKHAYA2,BARCELONA MANOR,Barcelona Manor,Prospecting,,Contact Pending
006WR00000wjnljYAA,COURTYARD TOWERS,Courtyard Towers,Prospecting,,Reached Out - Pending Response
006WR00000wjqD6YAI,VISTA ARBOR APARTMENTS,Vista Arbor Apartments,Prospecting,,Contact Pending
006WR00000wk1EnYAI,HALLCRAFT VILLAS MESA 1,Hallcraft Villas Mesa 1,Under Contract,,
006WR00000wk1FBYAY,now called (The Clifford) Tides on Country Club,Now Called (The Clifford) Tides on Country Club,Closed Lost,,
006WR00000wk1FOYAY,THE ASPECT,The Aspect,Closed Lost,,
006WR00000wk1FRYAY,THE GROVE AT AUSTIN,The Grove at Austin,Closed Lost,,
006WR00000wk1FSYAY,TERRACE COVE APARTMENTS,Terrace Cove Apartments,Closed Lost,,
006WR00000wk1FVYAY,TRAMOR AT THE QUEST,Tramor at the Quest,Closed Lost,,
006WR00000wk1FXYAY,THE LOLA,The Lola,Closed Lost,,
006WR00000wk1FZYAY,SUMMIT AT HYDE PARK,Summit at Hyde Park,Closed Lost,,
006WR00000wk9T3YAI,MCQUEEN LANDING HOA,Mcqueen Landing HOA,Prospecting,,Reached Out - Pending Response
006WR00000wk9T5YAI,PARK PLACE VILLAGE CONDOMINIUM,Park Place Village Condominium,Prospecting,,Reached Out - Pending Response
006WR00000wk9ZFYAY,AVONDALE HOUSING DEVELOPMENT,Avondale Housing Development,Prospecting,,Contact Pending
006WR00000wkABfYAM,INGERSOLL SQUARE PHASE I/II,Ingersoll Square Phase I/II,Prospecting,,Contact Pending
006WR00000wkABgYAM,INGERSOLL SQUARE PHASE III,Ingersoll Square Phase III,Prospecting,,Contact Pending
006WR00000wkAkZYAU,VILLAS MESA 3,Villas Mesa 3,Prospecting,,Contact Pending
006WR00000wkAr3YAE,SALT,Salt,Prospecting,,Contact Pending
006WR00000wkBo9YAE,CREST AT PARK CENTRAL,Crest at Park Central,Prospecting,,Contact Pending
006WR00000wkBoNYAU,AUSTIN BLUFF,Austin Bluff,Prospecting,,Contact Pending
006WR00000wkBp2YAE,college park apartments,College Park Apartments,Prospecting,,Contact Pending
006WR00000wkC6RYAU,GABLES UPTOWN TRAIL,Gables Uptown Trail,Prospecting,,Contact Pending
006WR00000wkC6SYAU,STRATA,Strata,Prospecting,,Contact Pending
006WR00000wkC6TYAU,INDIE DEEP ELLUM,Indie Deep Ellum,Prospecting,,Contact Pending
006WR00000wkC6sYAE,sandshell At Fossil Creek,Sandshell At Fossil Creek,Prospecting,,Contact Pending
006WR00000wkC7MYAU,TRAMOR AT THE OAKS APARTMENTS,Tramor at the Oaks Apartments,Closed Lost,,
006WR00000wkC7XYAU,VILLAS MESA 2,Villas Mesa 2,Prospecting,Reached Out - Pending Response,
006WR00000wkCk1YAE,SORELLE,Sorelle,Closed Lost,,
006WR00000wkCk3YAE,VILLAS ON SIXTH,Villas on Sixth,Closed Lost,,
006WR00000wkCk6YAE,MAIN STREET SQUARE,Main Street Square,Closed Lost,,
006WR00000wkCmCYAU,502 NORTH,502 North,On Hold,,
006WR00000wkCmDYAU,HIGHLAND ESTATES,Highland Estates,On Hold,,
006WR00000wkCmFYAU,BRISTOL HEIGHTS,Bristol Heights,On Hold,,
006WR00000wkDt8YAE,DIMPLE ST MHP,Dimple St MHP,Prospecting,,Contact Pending
006WR00000wkFc3YAE,MAPLE CREST CONDOMINIUMS,Maple Crest Condominiums,Closed Lost,,
006WR00000wkFdoYAE,B AND I APARTMENTS,B and I Apartments,Closed Lost,,
006WR00000xumrOYAQ,NEW ADDED SITE,New Added Site,ROE Secured,,
006WR00000yur0lYAA,1342 EOLUS AVE,1342 Eolus Ave,Engaged,,
006WR00000ywTYXYA2,978 HYGEIA AVE,978 Hygeia Ave,Engaged,,
006WR00000ywTa9YAE,127 W GLAUCUS ST - A,127 W Glaucus St - A,Engaged,,
006WR00000ywTdNYAU,"225 S. HWY 101 , 17","225 S. Hwy 101 , 17",Prospecting,,Reached Out - Pending Response
