Id,name,account_state,st_state,inferred_state,source
006WR00000SNUwXYAX,Overcomers Church - SMB 1G,NE,,NE,account
006WR00000STzxgYAD,Drip Athletic - SMB 1G,NE,,NE,account
006WR00000SUnnxYAD,Gesu Housing - SMB 300M & (1) Voiceline,NE,,NE,account
006WR00000SV2GlYAL,Compassion & Care - SMB 2G,NE,,NE,account
006WR00000SiYltYAF,AJ Cafe - 1G SMB,NE,,NE,account
006WR00000SjfoTYAR,ANDERSON SIGNS - SMB 300m,NE,,NE,account
006WR00000SksjfYAB,SHEPHERD OF THE HILLS - SMB 300m,NE,,NE,account
006WR00000SlO5DYAV,HOUSE OF BEERS - SMB 300m,NE,,NE,account
006WR00000SoMOeYAN,Southstar Bank,TX,,TX,account
006WR00000SoRGDYA3,Greater Omaha Refrig - Commercial 1G,NE,,NE,account
006WR00000SoWpOYAV,Shell of Bridgeport,,,TX,city
006WR00000SonztYAB,Creative Structures - SMB 1G,NE,,NE,account
006WR00000SuRVGYA3,Kozy Lawn Care - SMB 1G,NE,,NE,account
006WR00000SuzOsYAJ,Northwest Chiro - SMB 1G,NE,,NE,account
006WR00000Sv4pxYAB,CIRCLE OF LOVE - SMB 300m,NE,,NE,account
006WR00000Sw0CQYAZ,"East Street tattoo, LLC",TX,,TX,account
006WR00000SwK34YAF,United Medical 6.11.25,AZ,,AZ,account
006WR00000SzarFYAR,ANDERSON SIGNS - SMB 300m & VoIP(1),NE,,NE,account
006WR00000T0q9CYAR,Keystone Tavern - BL(1),NE,,NE,account
006WR00000TI1oBYAT,New Texas Solar Roofing Company,TX,,TX,account
006WR00000TLz2zYAD,WSBUNCH - SMB 500m,NE,,NE,account
006WR00000TVCdhYAH,Action Concrete Pumping Supply,AZ,,AZ,account
006WR00000Tq6yIYAR,Skinner Clouse Group,AZ,,AZ,account
006WR00000TytLvYAJ,Nebraska Health Network - SLA - 1G/3 BL,NE,,NE,account
006WR00000U4lohYAB,Element Primary - SMB 1G,NE,,NE,account
006WR00000U4tXhYAJ,Advanced Spine,NE,,NE,account
006WR00000UAW70YAH,X Network 1G,AZ,,AZ,account
006WR00000UJUYzYAP,Brown Consulting - SMB 1G,NE,,NE,account
006WR00000UQj0FYAT,Outsource One - SMB 1G,NE,,NE,account
006WR00000UlqBZYAZ,Code Black Tech - SLA 1G,NE,,NE,account
006WR00000VXoqbYAD,NORTHWESTERN MEDIA - SMB 300m,MN,,MN,account
006WR00000XKjNlYAL,Primetime - Phone Prospect,NE,,NE,account
006WR00000XKyZjYAL,Hausmann - Phone Prospect,NE,,NE,account
006WR00000oPPWMYA4,Mineral Wells TX info@mineralwellstx.com,,,TX,name_abbr
006WR00000qe6VQYAY,ABC Seamless of Nebraska,,,NE,name_full
006WR00000vbyfWYAQ,Omaha Steaks,,,NE,city
006WR00000zvH95YAE,SMB ROE Project- 127 W JUANITA AVE MESA AZ 105,,,AZ,name_abbr
006WR00000zveAWYAY,SMB ROE Project- 127 W JUANITA AVE MESA AZ 106,,,AZ,name_abbr
006WR00000zw4xnYAA,SMB ROE Project- 127 W JUANITA AVE MESA AZ 109,,,AZ,name_abbr
006WR00000zwVEnYAM,SMB ROE Project- 127 W JUANITA AVE MESA AZ 101,,,AZ,name_abbr
006WR00000zx55NYAQ,SMB ROE Project- 127 W JUANITA AVE MESA AZ 108,,,AZ,name_abbr
006WR00000zxFfpYAE,SMB ROE Project- 127 W JUANITA AVE MESA AZ 110,,,AZ,name_abbr
