Id,name,account_state,st_state,inferred_state,source
006WR00000SNUwXYAX,Overcomers Church - SMB 1G,NE,,NE,account
006WR00000STzxgYAD,Drip Athletic - SMB 1G,NE,,NE,account
006WR00000SUnnxYAD,Gesu Housing - SMB 300M & (1) Voiceline,NE,,NE,account
006WR00000SV2GlYAL,Compassion & Care - SMB 2G,NE,,NE,account
006WR00000SiYltYAF,AJ Cafe - 1G SMB,NE,,NE,account
006WR00000SjfoTYAR,ANDERSON SIGNS - SMB 300m,NE,,NE,account
006WR00000SksjfYAB,SHEPHERD OF THE HILLS - SMB 300m,NE,,NE,account
006WR00000SlO5DYAV,HOUSE OF BEERS - SMB 300m,NE,,NE,account
006WR00000SoMOeYAN,Southstar Bank,TX,,TX,account
006WR00000SoRGDYA3,Greater Omaha Refrig - Commercial 1G,NE,,NE,account
006WR00000SoWpOYAV,Shell of Bridgeport,,,TX,city
006WR00000SonztYAB,Creative Structures - SMB 1G,NE,,NE,account
006WR00000SuRVGYA3,Kozy Lawn Care - SMB 1G,NE,,NE,account
006WR00000SuzOsYAJ,Northwest Chiro - SMB 1G,NE,,NE,account
006WR00000Sv4pxYAB,CIRCLE OF LOVE - SMB 300m,NE,,NE,account
006WR00000Sw0CQYAZ,"East Street tattoo, LLC",TX,,TX,account
006WR00000SwK34YAF,United Medical 6.11.25,AZ,,AZ,account
006WR00000SzarFYAR,ANDERSON SIGNS - SMB 300m & VoIP(1),NE,,NE,account
006WR00000T0q9CYAR,Keystone Tavern - BL(1),NE,,NE,account
006WR00000TGyVnYAL,Pic Up Mart,,,,none
006WR00000TI1oBYAT,New Texas Solar Roofing Company,TX,,TX,account
006WR00000TLz2zYAD,WSBUNCH - SMB 500m,NE,,NE,account
006WR00000TMjYrYAL,7 Eleven- 3700 Basswood,,,,none
006WR00000TVCdhYAH,Action Concrete Pumping Supply,AZ,,AZ,account
006WR00000Tq6yIYAR,Skinner Clouse Group,AZ,,AZ,account
006WR00000TytLvYAJ,Nebraska Health Network - SLA - 1G/3 BL,NE,,NE,account
006WR00000U4lohYAB,Element Primary - SMB 1G,NE,,NE,account
006WR00000U4tXhYAJ,Advanced Spine,NE,,NE,account
006WR00000UAW70YAH,X Network 1G,AZ,,AZ,account
006WR00000UJUYzYAP,Brown Consulting - SMB 1G,NE,,NE,account
006WR00000UQj0FYAT,Outsource One - SMB 1G,NE,,NE,account
006WR00000UlqBZYAZ,Code Black Tech - SLA 1G,NE,,NE,account
006WR00000VXoqbYAD,NORTHWESTERN MEDIA - SMB 300m,MN,,MN,account
006WR00000XKjNlYAL,Primetime - Phone Prospect,NE,,NE,account
006WR00000XKyZjYAL,Hausmann - Phone Prospect,NE,,NE,account
006WR00000nRqfrYAC,Keri Michelle Interiors,,,,none
006WR00000nSqCRYA0,Stones Worth Stepping- Emily,,,,none
006WR00000nTsYfYAK,Malibu Galleries- MARY,,,,none
006WR00000nUSIoYAO,Generation V Vape- 327 N 78th St,,,,none
006WR00000oPFwmYAG,Amy Chisholm.lmt@gmail.com,,,,none
006WR00000oPPWMYA4,Mineral Wells TX info@mineralwellstx.com,,,TX,name_abbr
006WR00000oQ7nRYAS,Keller Lion Club,,,,none
006WR00000oQ9ajYAC,Studio Twenty2 honorthyhair@cox.net,,,,none
006WR00000oQAWoYAO,Your Time Professional Counseling Services//info@professionalconselingservice.com,,,,none
006WR00000qe6VQYAY,ABC Seamless of Nebraska,,,NE,name_full
006WR00000qeJZ4YAM,Harter Company,,,,none
006WR00000rsccsYAA,Midstate Hail And Dent,,,,none
006WR00000rt6UZYAY,Mind And Soul 1013 Fm Radio,,,,none
006WR00000rtrOXYAY,Everetts Restaurant,,,,none
006WR00000rudHtYAI,Brazen Head Irish Pub,,,,none
006WR00000tepaQYAQ,Harold's Bar,,,,none
006WR00000vbyfWYAQ,Omaha Steaks,,,NE,city
006WR00000vc9ayYAA,Foodies,,,,none
006WR00000vcBuWYAU,Hacienda Real,,,,none
006WR00000vdD1NYAU,The Tea Smith,,,,none
006WR00000vdb0VYAQ,Nebraska Spine Hospital,,,,name_full_business
006WR00000wZDygYAG,Rothenberg Ronald Neil Md,,,,none
006WR00000wZOUHYA4,Dr David A Ray Do,,,,none
006WR00000welzhYAA,Fish District,,,,none
006WR00000xnUSpYAM,Go Dogs,,,,none
006WR00000xnfmQYAQ,Denenberg Facial Plastic Surgery,,,,none
006WR00000xnw5jYAA,IT Referral Program Prospect,,,,none
006WR00000xo5k5YAA,Grant Street Bar & Grill,,,,none
006WR00000xoJofYAE,Dee-Sign Landscaping And Garden Shop,,,,none
006WR00000xoe1tYAA,Next Millennium Mystical Books And Gifts,,,,none
006WR00000zvH95YAE,SMB ROE Project- 127 W JUANITA AVE MESA AZ 105,,,AZ,name_abbr
006WR00000zveAWYAY,SMB ROE Project- 127 W JUANITA AVE MESA AZ 106,,,AZ,name_abbr
006WR00000zw4xnYAA,SMB ROE Project- 127 W JUANITA AVE MESA AZ 109,,,AZ,name_abbr
006WR00000zwVEnYAM,SMB ROE Project- 127 W JUANITA AVE MESA AZ 101,,,AZ,name_abbr
006WR00000zx55NYAQ,SMB ROE Project- 127 W JUANITA AVE MESA AZ 108,,,AZ,name_abbr
006WR00000zxFfpYAE,SMB ROE Project- 127 W JUANITA AVE MESA AZ 110,,,AZ,name_abbr
