Id,Name,state,new_zip,state_consistent,input_address,matched_address
006WR00000wkDOtYAM,Lake Bernardo Mobile Estates,CA,92026,True,"1202 Borden Rd, Escondido, California, Escondido, CA, ","1202 BORDEN RD, ESCONDIDO, CA, 92026"
006WR00000wkDMqYAM,Meadow Ridge,TX,76116,True,"3101 W Normandale St, Fort Worth, TX, Fort Worth, TX, ","3101 W NORMANDALE ST, FORT WORTH, TX, 76116"
006WR00000wkDO3YAM,Valle at Escondido,CA,92026,True,"1204 N Escondido Blvd, Escondido, California, Escondido, CA, ","1204 N ESCONDIDO BLVD, ESCONDIDO, CA, 92026"
006WR00000wkDOIYA2,Pacifica Palms Apartments,CA,92027,True,"1829 East Washington Avenue, Escondido, CA, Escondido, CA, ","1829 E WASHINGTON AVE, ESCONDIDO, CA, 92027"
006WR00000wk9ZoYAI,The Marvely,NE,68164,True,"13100 Fort Street, Omaha, NE, Omaha, NE, ","13100 FORT ST, OMAHA, NE, 68164"
006WR00000wkACDYA2,Mariposa Apartments [Vista,CA,92083,True,"221 Smilax Road, Vista, CA, Vista, CA, ","221 SMILAX RD, VISTA, CA, 92083"
006WR00000wjnPJYAY,St. James Manor Apartments,NE,68104,True,"3106 North 60th Street, Omaha, NE, Omaha, NE, ","3106 N 60TH ST, OMAHA, NE, 68104"
006WR00000wkBU6YAM,5400-5408 S. Ingleside,IL,60615,True,"5400-5408 S. Ingleside, Chicago, IL, ","5408 S INGLESIDE AVE, CHICAGO, IL, 60615"
006WR00000wj8KgYAI,5118-5120 S. Greenwood Avenue,IL,60615,True,"5118 South Greenwood Avenue, Chicago, IL, Chicago, IL, ","5118 S GREENWOOD AVE, CHICAGO, IL, 60615"
006WR00000wk9ZdYAI,Westbrook Gardens Apartments,NE,68114,True,"1911 Robertson Drive, Omaha, NE, Omaha, NE, ","1911 ROBERTSON DR, OMAHA, NE, 68114"
006WR00000wkBUwYAM,1018 E. 54th Street,IL,60615,True,"1019 East 54th Street, Chicago, IL, Chicago, IL, ","1019 E 54TH ST, CHICAGO, IL, 60615"
006WR00000wkFbvYAE,Plaza 93 West,NE,68134,True,"3290 N 93rd St, Omaha, NE, Omaha, NE, ","3290 N 93RD ST, OMAHA, NE, 68134"
006WR00000wkBnqYAE,Kenwood Court,IL,60615,True,"1350 E 53rd St, Chicago, IL, ","1350 E 53RD ST, CHICAGO, IL, 60615"
006WR00000wkBoGYAU,Enchanted Hills,NM,87144,True,"4501 Safelite Boulevard Northeast, Rio Rancho, NM, Rio Rancho, NM, ","4501 SAFELITE BLVD NE, RIO RANCHO, NM, 87144"
006WR00000wk9ZzYAI,4651 Dodge St,NE,68132,True,"4651 Dodge Street, Omaha, NE, Omaha, NE, ","4651 DODGE ST, OMAHA, NE, 68132"
006WR00000wkBUWYA2,5528 S. Cornell Avenue,IL,60637,True,"5529 S. Cornell Avenue, Chicago, IL, ","5529 S CORNELL AVE, CHICAGO, IL, 60637"
006WR00000wk9ZYYAY,La Mision Village,CA,92058,True,"3220 Mission Avenue, Oceanside, CA, Oceanside, CA, ","3220 MISSION AVE, OCEANSIDE, CA, 92058"
006WR00000wkA72YAE,Trails at Carmel Creek,TX,78634,True,"300 Carl Stern Drive, Hutto, TX, Hutto, TX, ","300 CARL STERN DR, HUTTO, TX, 78634"
006WR00000wkDOTYA2,Prominence Luxury Apartments,CA,92078,True,"601 South Twin Oaks Valley Road, San Marcos, CA, San Marcos, CA, ","601 S TWIN OAKS VALLEY RD, SAN MARCOS, CA, 92078"
006WR00000wkC6wYAE,The Avenue at Carlsbad,CA,92008,True,"2262 Avenida Magnifica, Carlsbad, CA, Carlsbad, CA, ","2262 AVE MAGNIFICA, CARLSBAD, CA, 92008"
006WR00000wjqCkYAI,Monaco on the Trail,TX,75204,True,"3003 Carlisle St, Dallas, TX, Dallas, TX, ","3003 CARLISLE ST, DALLAS, TX, 75204"
006WR00000wkCl0YAE,Casa Antiqua Apartments,CA,92084,True,"1225 Palomar Place, Vista, CA, Vista, CA, ","1225 PALOMAR PL, VISTA, CA, 92084"
006WR00000wj8KrYAI,5222-38 S Drexel Ave.,IL,60615,True,"5222-38 S. Drexel Avenue Apartments, South Drexel Avenue, Chicago, IL, Chicago, IL, ","5222 S DREXEL AVE, CHICAGO, IL, 60615"
