Id,Name,Property_Address,Property_City,Property_State,reason,extra
006WR00000wj8JYYAY,Marigold Ranch at San Tan Village,2120 E Ray Rd,Gilbert,AZ,no_addressMatches,street='2120 E Ray Rd' city='Gilbert' state='AZ'
006WR00000wj8KxYAI,Silver Creek - Mesa,,Mesa,AZ,missing_field,street='' city='Mesa' state='AZ'
006WR00000wjKFwYAM,Ariza Plum Creek,"4700 Cromwell Drive, Kyle, TX, USA",Kyle,TX,no_addressMatches,street='4700 Cromwell Drive' city='Kyle' state='TX'
006WR00000wjKGOYA2,Mitchell Farm,"Clear Creek Road, Killeen, TX, USA",Killeen,TX,no_addressMatches,street='Clear Creek Road' city='Killeen' state='TX'
006WR00000wjnP8YAI,Lincoln South Bank,"Vista Del Lago Drive, Tempe, AZ, USA",Tempe,AZ,no_addressMatches,street='Vista Del Lago Drive' city='Tempe' state='AZ'
006WR00000wjnlIYAQ,Pearl Studios,"71430 Northwest Pettygrove Street, Portland, OR, USA",Portland,OR,no_addressMatches,street='71430 Northwest Pettygrove Street' city='Portland' state='OR'
006WR00000wjqDFYAY,The Continental,"1810 Continental Avenue, Dallas, TX, USA",Dallas,TX,no_addressMatches,street='1810 Continental Avenue' city='Dallas' state='TX'
006WR00000wjqDfYAI,Modera Georgetown,"29600 Ronald Reagan Blvd, Georgetown, TX, USA",Dallas,TX,no_addressMatches,street='29600 Ronald Reagan Blvd' city='Dallas' state='TX'
006WR00000wk1FDYAY,Arcadia Place X,,Vista,CA,missing_field,street='' city='Vista' state='CA'
006WR00000wk9TeYAI,Aviara Apartments,"1205 Aviara Pkwy, Carlsbad, CA, USA",Carlsbad,CA,no_addressMatches,street='1205 Aviara Pkwy' city='Carlsbad' state='CA'
006WR00000wk9U2YAI,Exchange on the 8,,Mesa,AZ,missing_field,street='' city='Mesa' state='AZ'
006WR00000wk9ZKYAY,Villa Storia,"4250 Corte Sol, Oceanside, CA, USA",Oceanside,CA,no_addressMatches,street='4250 Corte Sol' city='Oceanside' state='CA'
006WR00000wk9ZbYAI,Spencer Apartments,"3259 N 29th St, Omaha, NE, USA",Omaha,NE,no_addressMatches,street='3259 N 29th St' city='Omaha' state='NE'
006WR00000wk9ZkYAI,Elk Hills Apartments,"2120 N Main St, Omaha, Elkhorn, NE, USA",Omaha,NE,no_addressMatches,street='2120 N Main St' city='Omaha' state='NE'
006WR00000wkA6RYAU,Langston Loge,"7122 Jones Circle, Omaha, NE, USA",Omaha,NE,no_addressMatches,street='7122 Jones Circle' city='Omaha' state='NE'
006WR00000wkA6ZYAU,Eagle Run Apartments,"3203 N 121st Plz, Omaha, NE, USA",Omaha,NE,no_addressMatches,street='3203 N 121st Plz' city='Omaha' state='NE'
006WR00000wkA6bYAE,Woodgate Townhomes,"504 North 107th Plaza, Omaha, NE, USA",Omaha,NE,no_addressMatches,street='504 North 107th Plaza' city='Omaha' state='NE'
006WR00000wkA6cYAE,Regency Lakeside Apartments,"10506 Pacific St, Omaha, NE, USA",Omaha,NE,no_addressMatches,street='10506 Pacific St' city='Omaha' state='NE'
006WR00000wkA6eYAE,Ovation Heartwood Preserve-Independent Living,"741 Maxwell Plaza, Boys Town, NE, USA",Omaha,NE,no_addressMatches,street='741 Maxwell Plaza' city='Omaha' state='NE'
006WR00000wkA6lYAE,Park 125,"12500 W Dodge Rd, Omaha, NE, USA",Omaha,NE,no_addressMatches,street='12500 W Dodge Rd' city='Omaha' state='NE'
006WR00000wkA6qYAE,Woodland Meadows,102 Double Road,Bengaluru,PA,no_addressMatches,street='102 Double Road' city='Bengaluru' state='PA'
006WR00000wkA6yYAE,Irvington Heights,"6704 North 90th Plaza, Omaha, NE, USA",Omaha,NE,no_addressMatches,street='6704 North 90th Plaza' city='Omaha' state='NE'
