Id,Name,prior_value,new_Property_Zip__c,source
006WR00000wkDOtYAM,Lake Bernardo Mobile Estates,,92026,census_geocoder
006WR00000wkDMqYAM,Meadow Ridge,,76116,census_geocoder
006WR00000wkDO3YAM,Valle at Escondido,,92026,census_geocoder
006WR00000wkDOIYA2,Pacifica Palms Apartments,,92027,census_geocoder
006WR00000wk9ZoYAI,The Marvely,,68164,census_geocoder
006WR00000wkACDYA2,Mariposa Apartments [Vista,,92083,census_geocoder
006WR00000wjnPJYAY,St. James Manor Apartments,,68104,census_geocoder
006WR00000wkBU6YAM,5400-5408 S. Ingleside,,60615,census_geocoder
006WR00000wj8KgYAI,5118-5120 S. Greenwood Avenue,,60615,census_geocoder
006WR00000wk9ZdYAI,Westbrook Gardens Apartments,,68114,census_geocoder
006WR00000wkBUwYAM,1018 E. 54th Street,,60615,census_geocoder
006WR00000wkFbvYAE,Plaza 93 West,,68134,census_geocoder
006WR00000wkBnqYAE,Kenwood Court,,60615,census_geocoder
006WR00000wkBoGYAU,Enchanted Hills,,87144,census_geocoder
006WR00000wk9ZzYAI,4651 Dodge St,,68132,census_geocoder
006WR00000wkBUWYA2,5528 S. Cornell Avenue,,60637,census_geocoder
006WR00000wk9ZYYAY,La Mision Village,,92058,census_geocoder
006WR00000wkA72YAE,Trails at Carmel Creek,,78634,census_geocoder
006WR00000wkDOTYA2,Prominence Luxury Apartments,,92078,census_geocoder
006WR00000wkC6wYAE,The Avenue at Carlsbad,,92008,census_geocoder
006WR00000wjqCkYAI,Monaco on the Trail,,75204,census_geocoder
006WR00000wkCl0YAE,Casa Antiqua Apartments,,92084,census_geocoder
006WR00000wj8KrYAI,5222-38 S Drexel Ave.,,60615,census_geocoder
006WR00000wkBosYAE,Park Hacienda,,94588,census_geocoder
006WR00000wk9ZNYAY,Applewood Pointe Apartments,,68127,census_geocoder
006WR00000wjKGBYA2,Vale Luxury,,77389,census_geocoder
006WR00000wkDNhYAM,Meadow Creek Apartments,,92078,census_geocoder
006WR00000wjnkrYAA,Landmark on Lovers,,75206,census_geocoder
006WR00000wjqDVYAY,Lone Star Gas Lofts,,75201,census_geocoder
006WR00000wkDOiYAM,Tamarack Gardens Apartments,,92821,census_geocoder
006WR00000wkDNHYA2,Casa De Amigos,,92029,census_geocoder
006WR00000wkA6FYAU,Avidor Omaha,,68144,census_geocoder
006WR00000wkBTvYAM,5326-5336 S. Greenwood Avenue,,60615,census_geocoder
006WR00000wkBV8YAM,Campbell Run,,98072,census_geocoder
006WR00000wkBngYAE,The Delaney at Lake Waco,,76710,census_geocoder
006WR00000wkDNgYAM,Sierra Vista,,92069,census_geocoder
006WR00000wjKFvYAM,Alleia Long Meadow Farms,,77407,census_geocoder
006WR00000wjKGnYAM,Juan Diego Apts,,80211,census_geocoder
006WR00000wk9ZOYAY,Capitol Place,,68102,census_geocoder
006WR00000wkA6PYAU,Nobility Point,,68111,census_geocoder
006WR00000wkBpHYAU,Liberty Trails Apartments,,78642,census_geocoder
006WR00000wkBTjYAM,5300-5308 S. Greenwood Avenue,,60615,census_geocoder
006WR00000wkA6EYAU,Chateau at Hillsborough,,68164,census_geocoder
006WR00000wkDNrYAM,Raintree Apartment Homes,,92821,census_geocoder
006WR00000wkBGcYAM,211 E 7th St,,85281,census_geocoder
006WR00000wkBV7YAM,Cotton Wood,,94568,census_geocoder
006WR00000wkDOHYA2,The Springs of Escondido,,92027,census_geocoder
