Id,Name,prior_value,new_Property_Zip__c,source,nominatim_display
006WR00000wj8JYYAY,Marigold Ranch at San Tan Village,,85236,nominatim,"East Ray Road, Mesa, Maricopa County, Arizona, 85236, United States"
006WR00000wjKFwYAM,Ariza Plum Creek,,78640,nominatim,"Cromwell Drive, Kyle, Hays County, Texas, 78640, United States"
006WR00000wjKGOYA2,Mitchell Farm,,76549,nominatim,"South Clear Creek Road, Killeen, Bell County, Texas, 76549, United States"
006WR00000wjnP8YAI,Lincoln South Bank,,85288,nominatim,"East Vista del Lago Drive, Tempe, Maricopa County, Arizona, 85288, United States"
006WR00000wjnlIYAQ,Pearl Studios,,97210,nominatim,"Northwest Pettygrove Street, Nob Hill, Northwest District, Portland, Multnomah County, Oregon, 97210, United States"
006WR00000wjqDFYAY,The Continental,,75202,nominatim,"Continental Avenue, Design District, Dallas, Dallas County, Texas, 75202, United States"
006WR00000wk9TeYAI,Aviara Apartments,,92011,nominatim,"1205, Aviara Parkway, Aviara, Carlsbad, San Diego County, California, 92011, United States"
006WR00000wk9ZKYAY,Villa Storia,,90257,nominatim,"Corte Sol, Oceanside, San Diego County, California, 90257, United States"
006WR00000wk9ZbYAI,Spencer Apartments,,68111,nominatim,"North 29th Street, Omaha, Douglas County, Nebraska, 68111, United States"
006WR00000wk9ZkYAI,Elk Hills Apartments,,68022,nominatim,"North Main Street, Elkhorn, Omaha, Douglas County, Nebraska, 68022, United States"
006WR00000wkA6RYAU,Langston Loge,,68106,nominatim,"7122, Jones Circle, Omaha, Douglas County, Nebraska, 68106, United States"
006WR00000wkA6ZYAU,Eagle Run Apartments,,68164,nominatim,"North 121st Plaza, Omaha, Douglas County, Nebraska, 68164, United States"
006WR00000wkA6bYAE,Woodgate Townhomes,,68134,nominatim,"North 107th Plaza, Omaha, Douglas County, Nebraska, 68134, United States"
006WR00000wkA6cYAE,Regency Lakeside Apartments,,68114,nominatim,"Regency Lakeside Community Leasing Office & Clubhouse, 10506, Pacific Street, Regency, Omaha, Douglas County, Nebraska, 68114, United States"
006WR00000wkA6lYAE,Park 125,,68154,nominatim,"12500, West Dodge Frontage Road North, Omaha, Douglas County, Nebraska, 68154, United States"
006WR00000wkAC7YAM,Sofi Shadowridge,,92081,nominatim,"Shadowridge Drive, Vista, San Diego County, California, 92081, United States"
006WR00000wkAUhYAM,Falls at Legend Trail,,80023,nominatim,"Lowell Boulevard, Broomfield, Colorado, 80023, United States"
006WR00000wkAsQYAU,The Alyssa,,85283,nominatim,"South River Drive, Tempe, Maricopa County, Arizona, 85283, United States"
006WR00000wkAsbYAE,The Cameron,,85281,nominatim,"The Cameron, 2062, East Cameron Way, Tempe, Maricopa County, Arizona, 85281, United States"
006WR00000wkBFaYAM,Long Meadow MHP,,13165,nominatim,"336, East Main Street, Village of Waterloo, Town of Waterloo, Seneca County, New York, 13165, United States"
006WR00000wkBUkYAM,Algonquin Apartments,,60615,nominatim,"East Hyde Park Boulevard, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States"
006WR00000wkBoYYAU,Draper Lofts,,12306,nominatim,"Draper Lofts, 901, Draper Avenue, Town of Rotterdam, Schenectady, New York, 12306, United States"
006WR00000wkBorYAE,La Vina,,94605,nominatim,"Gerrilyn Way, Livermore, Alameda County, California, 94605, United States"
006WR00000wkBqGYAU,Parc Plaza,,76244,nominatim,"North Riverside Drive, Fort Worth, Tarrant County, Texas, 76244, United States"
006WR00000wkC6ZYAU,Ocean Hills 55+,,92081,nominatim,"Cannon Road, Oceanside, San Diego County, California, 92081, United States"
006WR00000wkC6aYAE,Immanuel Village,,68152,nominatim,"Immanuel Village, 6803, North 67th Plaza, Debolt, Omaha, Douglas County, Nebraska, 68152, United States"
006WR00000wkC6vYAE,Park View Terrace,,92373,nominatim,"Building 32, 1601, Barton Road, Redlands, San Bernardino County, California, 92373, United States"
006WR00000wkCm5YAE,Enclave on Golden Triangle Apartments,,76248,nominatim,"5001, Golden Triangle Boulevard, Fort Worth, Tarrant County, Texas, 76248, United States"
006WR00000wkDNZYA2,Block C at North City,,92078,nominatim,"Wynston's Ice Cream Co, 250, North City Drive, San Marcos, San Diego County, California, 92078, United States"
006WR00000wkDNtYAM,Hollydale Mobile Home Estates,,92823,nominatim,"5700, Carbon Canyon Road, Olinda, Brea, Orange County, California, 92823, United States"
006WR00000wkDOYYA2,Melrose Villa Apartments,,92078,nominatim,"1820, Melrose Drive, San Elijo Hills, San Marcos, San Diego County, California, 92078, United States"
006WR00000wkDOZYA2,Rancho Vallecitos,,92078,nominatim,"3535, Linda Vista Drive, Rancho Vallecitos Estates, San Marcos, San Diego County, California, 92078, United States"
006WR00000wkDOnYAM,Highlands Mobile Home Park,,92071,nominatim,"7467, Mission Gorge Road, Santee, San Diego County, California, 92071, United States"
