Id,Name,prior_value,new_Property_Zip__c,source
006WR00000wiNoSYAU,Haciendas de la Playa,,92024,regex_from_Property_Address
006WR00000wjnP7YAI,Elliot Place,,85224,regex_from_Property_Address
006WR00000wk1F4YAI,Landings at Dobson Ranch,,85202,regex_from_Property_Address
006WR00000wk1F5YAI,Reflect at Dobson Ranch,,85202,regex_from_Property_Address
006WR00000wk9S1YAI,Sunterra Apartments,,92056,regex_from_Property_Address
006WR00000wk9UeYAI,Ritz colony,,92024,regex_from_Property_Address
006WR00000wk9UtYAI,Regal View HOA,,92024,regex_from_Property_Address
006WR00000wk9ZZYAY,Rosebay Falls,,92024,regex_from_Property_Address
006WR00000wkAjuYAE,Country Villas,,92058,regex_from_Property_Address
006WR00000wkCkxYAE,Hamilton Village,,68131,regex_from_Property_Address
006WR00000wkCloYAE,Elan at Keller Ranch,,76244,regex_from_Property_Address
006WR00000wkDM9YAM,Olympus Stone Glen,,76248,regex_from_Property_Address
006WR00000wkDMDYA2,Charter Oaks,,68114,regex_from_Property_Address
006WR00000wkDMMYA2,Vantage at Hutto,,78634,regex_from_Property_Address
006WR00000wkDMQYA2,The Opal Fort Worth,,76244,regex_from_Property_Address
006WR00000wkDMdYAM,Vista Blue,,92058,regex_from_Property_Address
006WR00000wkDsuYAE,Forrest Bluff Senior Apartments,,92024,regex_from_Property_Address
006WR00000wkDtQYAU,Silverado Apartments,,92075,regex_from_Property_Address
006WR00000wkEzyYAE,Magnolia on Oak Street,,76262,regex_from_Property_Address
006WR00000wkF0AYAU,Tacara Apartments NKA Bluestem Village,,76244,regex_from_Property_Address
006WR00000wkF0ZYAU,Harmon Villas,,76177,regex_from_Property_Address
006WR00000wkF0jYAE,Rhome Apartments,,76078,regex_from_Property_Address
006WR00000wkF0kYAE,Lake County Villas,,76179,regex_from_Property_Address
006WR00000wkF0qYAE,Melody on Main,,85201,regex_from_Property_Address
006WR00000wkFbsYAE,Elan Quail Point,,92024,regex_from_Property_Address
006WR00000wkFbwYAE,Discovery Village at Southlake,,76092,regex_from_Property_Address
006WR00000wkFdlYAE,The Quorum at Trophy Club Townhomes and Apartments,,76262,regex_from_Property_Address
006WR00000xtaP4YAI,Omaha_MDU_4822-4826 Sahler St Apartments,,68104,regex_from_Property_Address
006WR00000xtwz7YAA,Omaha_MDU_Redman Plz,,68134,regex_from_Property_Address
006WR00000xuAVsYAM,Killeen_MDU_505 Utah St,,76541,regex_from_Property_Address
