"sf__Id","sf__Error",Id,Substatus__c
"006WR00000wkDu7YAE","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Owner Unresponsive:Substatus__c --","006WR00000wkDu7YAE","Owner Unresponsive"
"006WR00000wkDu8YAE","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Owner Unresponsive:Substatus__c --","006WR00000wkDu8YAE","Owner Unresponsive"
"006WR00000wkDuKYAU","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Owner Unresponsive:Substatus__c --","006WR00000wkDuKYAU","Owner Unresponsive"
"006WR00000wkDuMYAU","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Owner Unresponsive:Substatus__c --","006WR00000wkDuMYAU","Owner Unresponsive"
"006WR00000wkDuQYAU","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Owner Unresponsive:Substatus__c --","006WR00000wkDuQYAU","Owner Unresponsive"
"006WR00000wkEb1YAE","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Owner Unresponsive:Substatus__c --","006WR00000wkEb1YAE","Owner Unresponsive"
"006WR00000wkEb4YAE","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Chose Another Provider:Substatus__c --","006WR00000wkEb4YAE","Chose Another Provider"
"006WR00000wkEb7YAE","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Chose Another Provider:Substatus__c --","006WR00000wkEb7YAE","Chose Another Provider"
"006WR00000wkEb9YAE","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Chose Another Provider:Substatus__c --","006WR00000wkEb9YAE","Chose Another Provider"
"006WR00000wkEbAYAU","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Chose Another Provider:Substatus__c --","006WR00000wkEbAYAU","Chose Another Provider"
"006WR00000wkEbBYAU","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Chose Another Provider:Substatus__c --","006WR00000wkEbBYAU","Chose Another Provider"
"006WR00000wkEbDYAU","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Owner Unresponsive:Substatus__c --","006WR00000wkEbDYAU","Owner Unresponsive"
"006WR00000wkEbWYAU","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Owner Unresponsive:Substatus__c --","006WR00000wkEbWYAU","Owner Unresponsive"
"006WR00000wkDu0YAE","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Owner Unresponsive:Substatus__c --","006WR00000wkDu0YAE","Owner Unresponsive"
"006WR00000wkDu1YAE","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Owner Unresponsive:Substatus__c --","006WR00000wkDu1YAE","Owner Unresponsive"
"006WR00000wkDu2YAE","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Owner Unresponsive:Substatus__c --","006WR00000wkDu2YAE","Owner Unresponsive"
"006WR00000wkEb6YAE","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Chose Another Provider:Substatus__c --","006WR00000wkEb6YAE","Chose Another Provider"
"006WR00000wkEb8YAE","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Chose Another Provider:Substatus__c --","006WR00000wkEb8YAE","Chose Another Provider"
"006WR00000wkEbGYAU","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Chose Another Provider:Substatus__c --","006WR00000wkEbGYAU","Chose Another Provider"
"006WR00000wkEbHYAU","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Chose Another Provider:Substatus__c --","006WR00000wkEbHYAU","Chose Another Provider"
