SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Note
a01WR00001Lmr8jYAB,Mesa_MDU_Dobson Ranch Condos,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr8kYAB,TX_KILLEEN_SA10_FDH14_PA01,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr8lYAB,TX_KILLEEN_SA10_FDH14_PA03,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr8mYAB,TX_KILLEEN_SA10_FDH14_PA02,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr8nYAB,Omaha_MDU_Woodgate Townhomes,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr8oYAB,TX_KILLEEN_SA10_FDH02_PA02,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr8pYAB,AZ_MESA_SA02_FDH13_PA01,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr8qYAB,TX_JARRELL_SA01_FDH09_PA02,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr8rYAB,Rancho Ponderosa,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr8sYAB,Villagio,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr8tYAB,Arroyo Vista,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr8uYAB,NE_OMAHA_SA04_FDH20_EXP01,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr8vYAB,NE_OMAHA_SA04_FDH21_EXP01,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr8wYAB,La Costa Valley,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr8xYAB,Santa Fe Ridge,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr8yYAB,Gilbert_MDU_The Sterling Apartments,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr8zYAB,TX_MINERAL WELLS_SA02_PA01,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr90YAB,TX_JARRELL_SA01_FDH05_PA01,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr91YAB,Killeen_MDU_1102 French St,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr92YAB,Killeen_MDU_1015-1017 14th St,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr93YAB,Killeen_MDU_1016 N 12th St,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr94YAB,Killeen_MDU_1318 18th St,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr95YAB,Killeen_MDU_607 N 20th St,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr96YAB,Killeen_MDU_Harris Apartments,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr97YAB,Killeen_MDU_1006 Harbour Ave,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr98YAB,Killeen_MDU_509 14th St,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr99YAB,Killeen_MDU_307 N 18th St,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr9AYAR,Killeen_MDU_1902-1924 N 2nd St,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr9BYAR,Killeen_MDU_1907 N Park St,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr9CYAR,Killeen_MDU_Sweet Home Apartments,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr9DYAR,Killeen_MDU_1103 York Ave,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
a01WR00001Lmr9EYAR,KILLEEN_MDU_501_Root_Ave,(created),,PL created (agreement),sync_vetro_to_salesforce.py,2026-05-08T12:04:11,CREATE,kind=agreement; from Vetro sync
