SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Note
006WR000011kjHCYAY,ROE - 1930 S ALMA SCHOOL RD MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=Contract Negotiations, RT=Business_ROE, PL=a01WR00000UGWLZYA5"
006WR000011kjHDYAY,ROE - 2045 S VINEYARD  MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=Engaged, RT=Business_ROE, PL=a01WR00000UGWRPYA5"
006WR000011kjHEYAY,ROE - 1855 W BASELINE RD MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=Contract Negotiations, RT=Business_ROE, PL=a01WR00000UGWKFYA5"
006WR000011kjHFYAY,ROE - 2222 S DOBSON RD MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=Contract Negotiations, RT=Business_ROE, PL=a01WR00000UGWYzYAP"
006WR000011kjHGYAY,ROE - 1660 S ALMA SCHOOL RD MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=ROE Secured, RT=Business_ROE, PL=a01WR00000UGWFCYA5"
006WR000011kjHHYAY,ROE - 941 S DOBSON RD MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=Contract Negotiations, RT=Business_ROE, PL=a01WR00000UGYB6YAP"
006WR000011kjHIYAY,ROE - 1839 S ALMA SCHOOL RD MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=Contract Negotiations, RT=Business_ROE, PL=a01WR00000UGWJuYAP"
006WR000011kjHJYAY,ROE - 2602 W BASELINE RD MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=Contract Negotiations, RT=Business_ROE, PL=a01WR00000UGWfZYAX"
006WR000011kjHKYAY,ROE - 5026 E MAIN ST MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=Engaged, RT=Business_ROE, PL=a01WR00000UGXNaYAP"
006WR000011kjHLYAY,ROE - 535 W IRON AVE MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=Engaged, RT=Business_ROE, PL=a01WR00000UGXStYAP"
006WR000011kjHMYAY,ROE - 1811 S ALMA SCHOOL RD MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=Engaged, RT=Business_ROE, PL=a01WR00000UGWJ7YAP"
006WR000011kjHNYAY,ROE - 3050 S COUNTRY CLUB DR MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=Engaged, RT=Business_ROE, PL=a01WR00000UGWqFYAX"
006WR000011kjHOYAY,ROE - 1455 S STAPLEY DR MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=Contract Negotiations, RT=Business_ROE, PL=a01WR00000YlMWjYAN"
006WR000011kjHPYAY,ROE - 4830 E MAIN ST MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=Engaged, RT=Business_ROE, PL=a01WR00000UGXLQYA5"
006WR000011kjHQYAY,ROE - 737 W GUADALUPE RD MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=Closed Lost, RT=Business_ROE, PL=a01WR00000UGXr3YAH"
006WR000011kjHRYAY,ROE - 2653 W GUADALUPE RD MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=ROE Secured, RT=Business_ROE, PL=a01WR00000UGWglYAH"
006WR000011kjHSYAY,ROE - 2815 S ALMA SCHOOL RD MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=Engaged, RT=Business_ROE, PL=a01WR00000UGWjKYAX"
006WR000011kjHTYAY,ROE - 745 W BASELINE RD MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=Engaged, RT=Business_ROE, PL=a01WR00000UGXrYYAX"
006WR000011kjHUYAY,ROE - 305 E MAIN ST MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=Engaged, RT=Business_ROE, PL=a01WR00000fDqSRYA0"
006WR000011kjHVYAY,ROE - 1855 E SOUTHERN AVE MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=ROE Secured, RT=Business_ROE, PL=a01WR00000YlMWtYAN"
006WR000011kjHWYAY,ROE - 1941 W GUADALUPE RD MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=Contract Negotiations, RT=Business_ROE, PL=a01WR00000UGWLpYAP"
006WR000011kjHXYAY,ROE - 1837 W GUADALUPE RD MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=Contract Negotiations, RT=Business_ROE, PL=a01WR00000UGWJtYAP"
006WR000011kjHYYAY,ROE - 1745 S ALMA SCHOOL RD MESA AZ,(created),,Business_ROE Opp,backfill_smb_roe_opps_2026-04-25.py,2026-04-25T11:09:14,CREATE,"Stage=ROE Secured, RT=Business_ROE, PL=a01WR00000UGWHWYA5"
